,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0,0,0,5,26,37,100,362,887,2301,4327,7594,13208,20130,28952,40268,54693,72147,93084,117284,146079,180083,215492,254343,294458,338055,379487,419647,459961,500160,536793,566748,595015,622179,645891,667179,685942,700405,713118,724281,730664,733072,732256,726234,713957,698501,675924,648442,614917,579586,537532,494158,452082,412827,374702,340761,306199,275721,246238,220870,196189,175118,155397,139394,126059,114029,102655,92874,83890,74052,63772,53408,45020,36689,30288,25203,22802,22440,23926,26538,29232,31370,34194,35003,35690,34640,33101,30490,26603,21650,16788,11464,6843,3634,1628,685,240,75,43,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,4,17,52,223,653,1496,3388,6353,11568,19871,30053,44253,60293,80230,104328,130536,160497,194955,231900,270463,312389,357824,402953,448458,495784,535051,576943,615124,651543,679888,708593,730785,751726,768613,783410,792474,799741,802856,803126,800277,790528,774126,751227,722453,687563,649761,607539,564074,519048,474238,432535,392461,351387,311699,276718,248257,221791,200228,180734,163712,147483,132966,119704,107409,94692,83287,70885,59896,49914,41603,35822,31264,30421,31934,36342,41880,44874,44924,42483,37439,31624,26070,21646,17650,13681,10279,7300,4715,2794,1530,745,401,202,106,86,100,49,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,4,17,72,196,551,1298,2747,5637,10244,16433,24622,34330,44877,58908,75831,97274,121442,148533,176695,209546,242711,277077,312864,347889,379454,409735,439014,464517,489449,510097,527174,542758,553467,561188,564663,566187,562379,556884,549929,538599,528077,511564,495875,475283,455100,434437,413247,389151,365996,344810,320778,293519,266415,239123,213883,187914,165830,146457,129881,114798,102179,91769,82531,75216,67952,61355,52651,43980,36674,30161,26154,24603,23538,22953,22368,19754,16662,13420,9875,7704,5920,4371,3110,2298,1699,1113,728,451,296,208,128,96,66,38,23,9,9,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,11,121,416,1175,2369,3980,6821,12633,20350,29864,38959,48218,58468,68895,81016,96313,113074,133375,155842,179691,205878,233072,262488,293271,322978,351655,376278,398303,420153,438433,452653,466368,478949,489563,500150,507789,516687,522006,521241,521804,519218,513398,502815,489305,473940,455293,435969,414487,393696,368721,344575,317672,292557,266447,240677,216059,192047,171429,151894,133696,117561,102285,89135,78066,67771,58627,50939,43374,36240,30220,25211,21754,19653,18664,18695,18923,18760,19090,19432,19054,16771,13791,10666,8163,6215,4592,3134,2208,1505,914,437,232,107,44,36,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,3,45,161,402,824,1851,3818,7308,12975,20923,31764,44874,60117,78737,99725,125206,155721,189008,229014,270184,313344,358923,408341,457605,507583,556217,601170,641569,681122,714186,743944,771069,793946,812549,822313,830426,827460,820979,812331,797090,781555,761439,734102,703492,667381,627119,584863,539067,495358,451289,409639,373169,337307,304548,274403,248354,222009,197486,175485,156959,137375,121982,107073,93518,82246,71716,62448,52943,43930,36617,31403,28236,27220,28010,29791,30956,31958,31129,29416,25751,21148,16929,12713,9272,6579,4597,3043,2113,1225,703,340,158,75,23,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,10,23,78,264,637,1070,2106,4126,7706,13093,21136,32206,45638,62596,84519,110052,138799,173263,212230,254855,300317,349014,400126,450193,500142,544103,590165,631924,668823,701300,734957,760462,784893,800911,815550,824734,832662,834972,829952,819153,800828,780983,755879,724292,687538,648890,605313,562417,521434,484440,447355,412927,376974,342384,309700,280506,251305,227121,204852,184654,164501,146634,129510,113889,98204,83576,71462,60284,49093,40020,33926,29489,27265,26124,26625,27784,29222,28853,26576,22582,19141,16001,12880,9643,7365,5863,4521,3488,2581,1669,1075,739,467,202,90,19,11,6,4,7,6,8,2,8,5,5,5,3,5,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,13,27,129,279,763,1931,3947,7350,12238,19473,29228,41691,57475,77091,98282,121366,148520,179700,211982,245165,279386,312710,344021,374441,402570,431331,456390,476924,496006,513074,527762,538938,546300,556099,559970,564932,568053,568456,565887,559074,546366,533695,512362,486876,458778,429971,398511,362611,324833,289895,258778,230019,204957,182750,163473,147033,134985,122880,111731,102891,94835,86948,79407,71469,64352,57874,50986,43793,38189,32608,29574,28623,29714,31356,32822,34067,33698,31237,25632,19947,15589,11524,8636,6328,4822,3693,2740,1857,1161,797,533,372,207,136,73,27,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,11,67,425,2159,4376,1573,1457,2641,5044,8835,14085,21416,31661,44329,58685,75678,93885,116993,141493,167000,193646,220697,249481,277449,303726,329075,351791,371861,393361,413529,434567,452601,469534,484661,496174,507892,514685,521157,525767,525136,521175,516051,504293,491188,480099,466868,449562,427014,402557,373975,345075,314452,285424,257385,232604,207571,186170,168014,150028,134956,119287,106153,94350,85458,77186,68731,61887,55981,50909,45832,41300,38846,37835,37845,37406,36356,34085,28732,23407,17890,13408,9871,7069,5030,3476,2269,1506,926,595,351,241,113,60,17,6,10,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,8,39,90,282,922,1901,3786,6912,12006,19564,29980,43584,60032,80739,103104,129749,160634,194335,231643,269957,309547,349284,388154,425636,458481,490877,520251,551015,579935,603580,626991,648264,668302,688053,703475,718012,725946,735537,739674,741816,738536,732825,721351,703934,683428,657407,623819,583216,541338,496101,451975,405894,365153,323283,288002,254524,224161,195894,170705,148065,126945,110420,95007,82352,69902,59529,49605,40651,32932,26924,21541,17394,14491,12914,12621,12370,10957,9363,6953,4558,2942,2096,1489,1114,797,550,466,323,229,144,88,53,31,20,14,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,3,18,24,96,295,626,1543,3469,7199,13180,21158,31775,44992,62135,84719,111272,144372,180261,219250,258988,303046,345706,387346,425444,462106,498195,532825,560985,590557,616991,641831,666119,688968,712176,732562,748273,765563,780645,791358,798168,800043,801767,795562,782759,768152,746710,718037,682253,638701,592048,539774,486027,432635,384270,339842,298973,260902,228835,196789,170842,146513,127127,109264,94550,83299,73438,64681,56572,47629,39550,31237,23277,16507,11595,7662,5003,3472,2354,1780,1188,902,679,529,434,319,256,233,156,135,129,129,117,64,29,22,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
