,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,y,256
0,0,0,0,0,0,0,0,5,10,16,15,22,38,62,114,248,327,560,922,1379,1868,2459,3216,4378,5795,7413,8952,11178,13197,15755,18671,21597,25220,29473,33646,38501,43763,49321,54968,62316,69252,76827,85411,94672,103040,112452,121969,132374,141644,152814,164106,173949,184873,194614,204905,214742,225007,234954,245600,254560,263812,272981,279193,287555,294797,300218,307994,314185,320323,325568,331344,335835,340472,345470,348122,352283,354682,358436,361003,363278,364594,366070,366979,366093,366709,365547,364024,362210,359019,354938,352050,346451,341040,334884,328533,319909,311652,303265,294556,285030,273861,263671,252586,241572,231151,220931,211041,201786,191582,183120,174607,166154,157292,148907,142147,133574,126206,120032,113735,107135,100927,95262,90350,84768,79865,75532,71556,67838,64681,61378,58438,55591,52593,50062,47222,45652,43188,40702,38393,35659,33350,30422,27848,25560,23404,21616,19330,17359,15742,14546,13232,11971,11434,11368,11085,11355,11751,12175,12906,13632,14575,14657,15326,16044,16914,17280,17323,17680,17861,17829,17280,17360,16953,16148,15812,14678,13928,12675,11491,10159,9136,7652,6374,5090,3900,2943,2186,1448,961,667,409,276,149,91,45,30,26,17,11,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,2,2,8,9,25,27,79,144,243,410,570,926,1310,2078,2767,3586,4919,6649,8706,11165,13499,16554,20236,24017,27949,32344,37061,43169,49176,55152,62213,68323,76511,83986,93336,101619,111584,120316,130091,140372,150358,162031,173352,184472,195680,207273,218139,230319,242791,252993,262661,272390,283420,293523,303464,311660,321770,329773,335784,344104,350827,357766,362713,368072,373399,378327,382822,385791,390573,392837,394811,397663,398983,400758,401553,401303,401803,401323,400744,399533,396209,394319,390512,383614,378616,372611,365470,356983,348530,339033,330398,319363,309030,298509,287544,276530,265174,253874,242570,231668,221514,211021,201442,191019,180625,170762,160572,151127,142528,134190,127775,120482,114137,107654,102492,97736,92838,87896,83896,79816,75604,71879,68146,64820,61294,58410,55215,52194,48983,45709,43262,40025,36585,34300,31317,28579,26249,23665,21665,19938,18634,17188,15951,15313,15103,15318,15336,16598,17579,18763,20530,21350,22141,22733,22636,22288,21718,20765,19470,17969,16471,15153,13637,12433,11394,10252,9408,8242,7352,6329,5601,4678,3987,3313,2585,2130,1632,1162,854,676,423,322,231,170,123,79,58,48,38,48,50,50,29,20,14,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,0,4,5,12,23,49,64,132,211,340,521,777,1134,1613,2389,3248,4432,5812,7267,9166,11228,13394,16024,18306,20935,23942,27427,31481,35489,40342,45417,51857,57746,63696,70791,77742,84789,91906,101028,108518,116882,125829,134441,142636,151695,161169,169840,178049,186128,193326,201251,208484,215777,223237,228622,235895,241871,247578,252385,257712,261060,266114,269755,273003,276158,277309,279996,281192,282362,282301,283020,283167,281567,280812,279151,277733,276544,273385,270702,267897,265479,262598,257375,254189,250265,245610,240781,234502,230396,224704,219893,214544,209365,203882,196913,192238,185653,180343,175004,169806,163450,157328,150408,143111,136530,129885,123050,116073,110252,103631,97096,90818,85565,80265,75651,70806,66951,62930,58981,55817,52522,49657,46906,44863,42116,40415,38444,36772,34882,33070,31622,29733,27466,25185,22837,21143,19144,17530,15656,14505,13391,12763,12383,12220,11887,11651,11478,11475,11453,10915,10339,9415,8752,7910,7150,6270,5275,4600,4077,3627,3229,2691,2339,2032,1744,1366,1231,1067,955,744,597,516,414,314,243,208,171,125,104,104,62,66,47,49,41,25,25,13,14,9,3,6,5,4,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,1,10,27,94,155,261,426,749,1031,1338,1909,2071,2769,4052,5497,7136,8944,11406,13721,16143,18470,20489,22885,25333,27876,30592,32989,35906,38834,42182,46258,50055,54098,58976,64010,69365,74711,81131,86666,93025,99274,106604,112943,120129,127553,134935,142908,150363,158016,164962,172353,179302,184586,191692,196110,202193,208194,211959,217181,221252,224467,228186,231259,235109,238226,240723,243464,246099,248394,251756,252882,254907,257208,259479,260616,261390,260287,260954,261403,260401,260133,259085,258072,255326,252745,250070,246451,242854,238888,235052,230085,225208,220359,215610,209566,204921,199849,193847,186918,181803,175496,169079,162222,155450,148775,143782,136442,130005,123893,116784,111240,104819,98274,93773,88411,83018,78119,73775,69224,64472,60746,56815,52909,49376,46058,43077,40484,37582,35036,32735,30438,28189,26284,24655,22700,20674,18991,17249,15790,14430,13174,12037,11256,10498,10037,9616,9352,9312,9323,9372,9517,9406,9471,9289,9531,9559,9682,9750,9658,9396,8720,8051,7365,6426,5746,4920,4338,3825,3332,2883,2514,2078,1746,1388,1211,997,870,635,513,401,248,189,127,105,68,39,25,19,22,14,13,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,1,0,3,11,34,69,92,183,219,329,495,801,1050,1531,2287,3133,4175,5662,7313,9323,11600,14299,17465,20819,24055,28066,32051,36802,41935,46971,52754,59281,65925,73973,81748,89755,99253,109291,119723,129711,140473,151606,161738,173272,185651,197920,210421,222719,234886,247704,259879,271558,284659,295581,305589,315702,325867,335344,345778,353455,360731,368362,375582,382428,388641,394812,399134,404167,408382,410196,412117,414957,415469,413740,413720,410543,410436,407203,405128,400884,396206,393904,387651,383215,378224,370568,363534,356662,346830,337936,329445,318760,308359,297702,287161,274400,264667,253678,241680,230665,220624,209364,200275,190864,182305,172831,164476,156828,147720,140840,133563,127175,121179,113549,108460,101353,96133,90463,85022,80955,76004,70965,66410,62751,59231,55363,51710,48238,45280,42394,39852,37140,34576,32188,30260,27830,25113,22956,20974,19112,17505,16283,15120,14522,13714,13603,13617,13792,14218,14720,15071,15359,15597,16002,15956,15673,15456,15048,14368,13460,12291,11169,9979,8921,8008,6898,5815,5005,4267,3597,2982,2548,2049,1674,1369,1145,968,677,548,398,305,207,133,92,66,47,28,16,7,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,1,9,6,17,29,49,101,163,269,368,449,621,850,1256,1757,2369,3361,4345,5705,7388,9341,11795,14562,17644,20899,24739,28648,33948,39225,45294,51830,58222,65303,73496,81766,91497,100451,111779,121829,133026,144168,156149,168259,180755,193295,206831,218620,231573,244103,256039,266804,277299,290594,299571,310923,321001,329787,339036,346328,354972,364494,370463,377123,383339,389589,395304,399146,401765,406815,408735,411552,413182,415908,416754,416746,418226,415940,414012,411210,407943,402165,398663,393661,387322,381695,374184,366433,357859,348488,339050,329489,319401,308126,297187,285668,276749,265651,255783,246580,237860,228492,218863,210960,201967,192921,184053,175797,166587,158447,151253,144286,136220,128559,122746,116724,110397,105478,99374,94849,89805,84749,79752,75803,70831,66682,62828,59170,54719,51390,46814,43340,40236,37138,34324,31518,28766,25886,23207,20907,19113,17735,16191,15267,14222,13817,13448,13016,13108,13254,13371,13680,14104,14535,14687,14489,14364,13820,12756,11776,10806,9892,9249,8289,7712,6912,5968,5219,4424,3938,3427,3102,2761,2351,2170,1895,1593,1440,1141,906,763,602,473,411,328,263,204,122,80,69,21,15,4,5,6,4,2,3,1,3,4,4,2,3,5,2,0,5,3,1,4,2,3,2,3,1,2,3,2,1,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,6,7,9,18,32,97,111,168,308,455,742,1189,1639,2308,3050,4300,5365,6873,8641,10832,13253,15975,18915,22776,26437,31038,36207,40884,46534,51748,57378,63988,70634,77886,86114,93586,101376,110606,118663,126502,135402,143984,152113,160597,168207,175814,183106,191335,198006,204564,212589,218742,224949,231441,236141,240783,246151,249855,254359,258715,262122,265640,268092,270846,271580,274720,277222,278877,279977,279993,281959,282973,283611,284442,283998,284458,283764,282123,280720,278354,274580,271786,269075,264620,258948,253414,246832,240044,232372,226406,218424,211547,203314,195197,186288,176323,166749,158084,149172,140723,133087,125691,118796,111223,105858,99099,93929,88821,83768,79705,75532,71501,69095,65890,62780,60100,57389,54342,52052,50839,48413,46422,44554,42394,40690,38717,36762,34707,32973,31379,29645,28229,26342,24644,22842,20951,19915,18274,17164,15444,15033,14541,14331,14292,14590,15124,15375,15981,16184,16638,16919,17148,16975,16723,16173,15064,13518,12114,10594,9353,8324,7265,6358,5166,4605,4031,3428,2900,2631,2191,1973,1720,1478,1262,982,875,610,551,439,358,310,223,225,147,129,78,73,63,46,27,20,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,1,4,7,8,59,112,313,608,1551,2920,1456,783,790,664,793,1128,1513,2100,2944,3919,4916,6213,7872,9660,11756,14400,17261,20291,24038,27524,31161,35677,40001,44119,49766,55601,61392,67888,73605,80243,86757,93278,100368,107002,113695,121294,128187,135166,142283,148563,155163,161196,167879,173637,178154,183404,188457,194283,199078,203971,209558,214885,219682,223787,228814,232671,236863,240911,243750,246301,249873,252881,255011,256691,257994,259652,261505,262805,262962,262743,262393,261104,260071,259051,257000,253409,250884,246952,244236,241298,238801,235650,231218,227238,222324,216304,210710,204719,197838,190653,183322,176024,169051,161021,153431,146349,139075,132729,124656,119066,113538,107201,100370,95723,90447,86644,81370,77029,72999,69826,65130,61478,57809,54695,51458,48753,45597,43359,42099,39529,37657,35347,33384,31593,30294,28589,27392,26151,24758,23494,22338,21081,20219,19616,19230,18985,18850,18983,18862,18906,18500,18325,18031,17638,16447,15086,13646,12440,10967,9657,8233,7304,6104,5405,4466,3856,3213,2762,2268,1908,1568,1289,980,839,667,531,395,329,266,211,140,142,99,64,49,41,19,6,11,3,3,6,4,0,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,3,5,16,23,28,62,103,179,350,572,775,1126,1573,2213,2898,4014,5245,6761,8565,10999,13419,16561,19886,23698,27657,32375,37644,43095,48354,54750,61218,68531,76197,84437,92519,101816,110854,120789,129666,140291,149999,159548,169782,179502,189600,198554,208292,217344,225589,232892,240601,250276,256998,263253,272034,278981,286772,293163,298749,304831,310645,316346,321513,326751,331564,336738,341891,346162,350022,353453,356948,361064,361521,364425,367647,367890,368945,370729,370189,371627,370179,368357,367598,365227,362114,359237,355343,348591,344274,339154,332365,325042,316688,307131,297366,285850,276308,265030,253856,242245,231909,220066,208203,197691,188199,176954,166273,157010,148390,139612,131023,123501,115707,108454,101242,94652,88590,82115,76984,71081,65677,61268,57041,53379,49005,46002,42830,39522,36399,33503,30946,28583,25974,23631,21391,19260,17430,15502,14161,12763,11338,10203,9199,8195,7515,6976,6594,6320,6388,6233,6270,6100,5498,5459,4993,4370,3822,3131,2476,2082,1627,1315,1145,951,846,643,594,520,421,376,300,250,265,201,166,157,131,98,76,68,52,36,30,23,20,11,12,8,9,5,2,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,1,2,5,13,9,15,33,63,112,183,247,379,611,932,1377,2092,3061,4138,5797,7383,9426,11732,14518,17257,20482,24510,28759,33376,39282,45437,52008,59264,68255,76117,85267,94994,104432,114818,124119,134869,146546,156500,167614,178092,188338,199008,207569,217875,226504,235602,244940,253255,262946,269879,276642,284343,292408,298149,305304,311687,318168,323663,329784,336335,341319,347649,352860,359316,364496,368066,371852,376421,380759,384804,388334,392311,394464,396894,398752,399416,400045,399998,400913,400854,399023,396539,392739,390020,386269,381883,376481,370229,363290,354747,345892,336361,325562,313139,302316,289732,276670,263104,249608,236419,222457,210178,198833,185437,175849,163993,154337,144636,134819,126083,117942,110893,101937,94852,88594,82248,76007,70506,66031,61096,56784,52480,48738,45812,43253,40046,37934,35504,33520,31161,29232,27340,24886,22743,20698,18852,16681,14556,12597,10680,8949,7558,6308,5287,4255,3407,2762,2241,1890,1582,1251,1103,969,811,640,548,485,417,360,319,298,231,239,195,160,159,136,120,123,110,85,71,64,71,69,60,58,71,66,51,35,29,20,9,14,8,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
