,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,5,525,15109,102558,337208,795997,1431647,2063662,2530264,2823746,2922226,2736824,2226193,1580372,1049028,666098,435617,275122,137200,95706,129799,133921,76505,12790,374,4,0,0,0,0,0,0
1,4,945,22805,154470,475591,1009707,1705019,2378661,2870992,3144238,3196787,2935369,2340422,1650621,1058465,692157,454771,263982,139110,155030,156470,79047,25088,2878,341,30,0,0,0,0,0,0
2,0,289,10233,85629,276890,656216,1180541,1692720,2069478,2245505,2207791,2010799,1691935,1325103,907335,556966,351695,225938,117592,88613,47661,15699,3991,728,136,17,0,0,0,0,0,0
3,11,4081,43784,175509,359298,674786,1111809,1546389,1836403,2014189,2084269,1979458,1699445,1323525,915230,574580,337257,189180,96838,75042,74347,38835,11439,1690,105,1,0,0,0,0,0,0
4,1,611,13801,110536,363785,843927,1538213,2306539,2910321,3259234,3257860,2980588,2418430,1729455,1164612,751939,459948,269353,140186,115977,118254,60062,16332,2426,109,1,0,0,0,0,0,0
5,10,1002,15008,112073,395966,940665,1699475,2435015,2981612,3273857,3284905,2948692,2338054,1721696,1183895,781128,488237,264415,130700,109755,97152,45889,16453,3950,322,23,23,18,10,0,0,0
6,13,1198,25466,147867,445259,916233,1433742,1860651,2126074,2249054,2239783,1991711,1515926,983649,628241,432337,302176,190842,120519,131943,92405,31310,9451,1909,240,1,0,0,0,0,0,0
7,79,8533,17977,111491,345241,722836,1159731,1530542,1841363,2039908,2088129,1942448,1653108,1202336,794359,510424,325725,214609,155826,136579,64576,17844,3378,431,21,6,0,0,0,0,0,0
8,8,1333,24605,153160,474226,1005482,1621555,2142078,2547137,2835486,2955563,2841538,2405780,1719123,1089970,641609,357681,182717,80350,48862,23816,5496,1568,316,37,3,1,0,0,0,0,0
9,21,1041,25391,160060,520624,1126990,1773091,2301358,2709094,3027043,3191336,3093183,2631039,1842706,1128552,641271,360551,208432,82616,18491,4549,1538,653,339,31,0,0,0,0,0,0,0
10,5,1112,23856,135643,419833,860133,1333449,1698068,1935537,2130836,2278444,2281050,1967535,1284376,786059,499496,322157,185593,62444,9565,1650,452,162,31,14,0,0,0,0,0,0,0
11,17,1104,22808,136427,388046,772984,1190241,1570797,1891104,2101730,2148784,2017067,1702903,1208404,760540,463940,265444,127117,42106,11204,3155,1000,542,340,168,27,1,0,0,0,0,0
12,8,1008,29791,183957,524671,1069279,1673318,2187550,2603013,2952951,3152072,3065064,2492828,1616573,988293,590117,355482,199532,79233,19571,3664,877,432,165,50,1,0,0,0,0,0,0
13,65,936,22003,138402,429028,937794,1585360,2204238,2729979,3153761,3318746,3095377,2525816,1806941,1147617,691114,387439,187285,63969,16012,4112,1077,354,58,17,0,0,0,0,0,0,0
14,108,896,19810,122960,387150,842166,1318182,1671570,1964156,2249298,2395505,2179224,1596791,1017104,601364,357640,213249,102264,31039,6288,1921,721,412,161,21,0,0,0,0,0,0,0
15,27,3933,12103,13584,83594,371892,767480,1152307,1515964,1707885,1593264,1151332,564306,263400,143657,72014,30364,8766,960,119,44,5,0,0,0,0,0,0,0,0,0,0
16,21,3120,18376,98586,292787,598986,956603,1276783,1525209,1684908,1687834,1470784,1063027,666754,420089,259294,155510,82159,31370,7763,1952,441,125,19,0,0,0,0,0,0,0,0
17,11,2286,49775,281012,771981,1507777,2196519,2646883,2937548,3164651,3236979,2931446,2127411,1299561,806254,508023,305914,162089,61292,15434,3973,823,245,80,27,6,0,0,0,0,0,0
18,2,1112,34755,203847,588442,1177152,1741071,2079072,2269391,2392407,2347489,1969097,1329471,789889,476837,284821,157477,70853,23793,5431,1390,562,120,17,2,0,0,0,0,0,0,0
19,1,675,22488,151957,459955,949279,1461678,1812130,2068545,2246296,2260887,1995294,1423660,846538,509366,317870,195352,97581,32425,7755,2174,792,227,65,10,0,0,0,0,0,0,0
20,8,589,20232,147376,460858,991486,1630441,2208179,2661872,3032139,3213960,3051699,2423027,1599340,952841,552890,318695,164525,64825,18874,4837,1022,264,20,1,0,0,0,0,0,0,0
21,17,1063,19302,116289,342796,716966,1266251,1889639,2475482,2980101,3324719,3385823,3015690,2221509,1409564,816066,452932,226325,88512,25188,6907,2475,1121,697,564,436,267,215,80,4,0,0
22,26,254,11355,78449,248840,542289,950583,1435701,1898552,2277299,2491963,2465172,2139617,1543309,969409,552353,302383,151402,58026,16942,4707,1295,422,120,22,10,0,0,0,0,0,0
23,3,2109,15203,84441,238850,516752,898097,1278074,1631893,2025110,2323738,2306487,1847021,1246156,780101,445885,218558,93475,31823,8807,1770,394,142,72,37,2,0,0,0,0,0,0
24,13,423,14482,95431,289581,612568,1133393,1759145,2395210,3050615,3640651,3747012,3182468,2195557,1295504,724986,392444,186043,63302,14877,2984,527,154,92,38,0,0,0,0,0,0,0
25,3000,22859,34785,81980,192725,375861,662708,1047987,1478730,1956670,2520095,2889560,2566595,1863102,1139241,624605,319872,133542,43458,10685,2440,521,165,155,117,139,123,121,203,245,174,37
26,198,2626,16621,82266,225173,460527,796766,1214029,1646046,2076696,2480763,2688598,2297579,1519424,853819,428187,192708,81997,30328,9518,2853,788,224,152,71,15,14,7,3,3,1,0
27,37,749,7219,53504,165193,357810,646183,1012588,1380423,1752322,2122884,2258113,2020563,1589716,1115257,636751,303331,130318,44739,14770,3545,717,176,66,26,0,0,0,0,0,0,0
28,0,271,9371,72706,232505,511779,890844,1312483,1786224,2306881,2730424,2698541,2235347,1526471,932231,528738,280820,132639,44250,10117,1933,616,250,59,0,0,0,0,0,0,0,0
29,12,652,13751,87929,249533,542552,965315,1393424,1772769,2146790,2387053,2277399,1806898,1184588,718075,421720,232127,103467,35285,9857,2323,386,95,0,0,0,0,0,0,0,0,0
30,12,744,16062,109938,368274,809212,1453131,2085842,2531767,2859111,3186707,3356767,2807094,1719656,1017404,618674,361962,196140,81244,22358,4163,815,334,70,17,2,0,0,0,0,0,0
31,58,6850,79796,235057,400005,662715,1123329,1747977,2403282,2972832,3434047,3623939,3151594,2218185,1395568,858119,520408,269435,96788,26889,6391,1073,442,152,59,10,0,0,0,0,0,0
32,57,1019,14436,92999,296433,683590,1197701,1638372,1964538,2215005,2431670,2540564,2110968,1316575,820830,513526,307689,158841,62496,19138,4342,831,452,269,111,41,7,0,0,0,0,0
33,36,482,9729,71541,221945,496827,899477,1316005,1653792,1887049,2070513,2246804,2093637,1569130,1131138,774933,468196,228803,85459,32828,11366,2499,286,24,1,0,0,0,0,0,0,0
34,0,1901,18220,96239,283178,648374,1203642,1821758,2387657,2830090,3177003,3326668,2887863,1935782,1135340,667512,407617,208582,74643,23930,10595,4924,949,33,0,0,0,0,0,0,0,0
35,43,732,10006,63436,219854,553574,1133056,1874759,2579740,3152463,3598728,3900711,3335557,1987524,1009917,525725,293465,142382,38937,7108,1468,489,299,27,0,0,0,0,0,0,0,0
36,0,353,9093,72147,243337,584375,1104486,1675147,2142828,2414932,2494653,2387419,2104701,1468411,799838,428176,248147,120931,29022,4092,782,124,6,0,0,0,0,0,0,0,0,0
37,32,923,15437,93180,276295,587698,1013739,1490953,1879869,2132852,2242360,2198418,1997042,1454752,762569,382193,212696,102247,23318,2626,524,188,69,20,0,0,0,0,0,0,0,0
38,78,2436,43474,231444,586924,1129662,1803758,2387017,2725242,2799158,2744522,2623341,2318268,1737880,952637,488137,293863,158204,46651,7338,1564,445,203,134,103,17,0,0,0,0,0,0
39,4,1335,29012,173511,510077,1062845,1784243,2515010,3048071,3287765,3278282,3036755,2501710,1667676,886123,477850,271960,137965,50341,10895,1692,693,419,196,47,13,6,4,0,0,0,0
40,2,388,10601,64043,216727,512379,969227,1534425,2070258,2450594,2612840,2550318,2018833,1251380,698357,386104,252847,143147,45752,7591,1286,252,86,35,26,2,0,0,0,0,0,0
41,15,500,11039,88024,331718,823866,1545253,2330897,2998189,3400133,3427421,3089167,2335264,1390328,755981,432999,245404,123867,44132,9966,2084,617,92,32,12,0,0,0,0,0,0,0
42,0,450,14553,116607,425951,1043404,1890866,2692264,3213864,3406884,3308909,3019251,2371315,1531821,865949,505228,321762,172115,56473,10897,2325,984,447,112,68,1,0,0,0,0,0,0
43,35,1135,18872,126630,386382,838517,1376482,1732100,1864575,1839779,1727428,1510237,1114556,660844,380271,247913,145600,69165,22487,4825,1348,569,238,12,0,0,0,0,0,0,0,0
44,38,1322,24640,156398,514019,1250041,2247936,2985993,3302179,3369106,3191385,2625315,1753745,1030165,603139,360382,203343,86455,23723,5671,1431,487,78,9,0,0,0,0,0,0,0,0
45,5,2344,39871,209535,668951,1453022,2148568,2266940,2011094,1848640,1858411,1694245,1127085,605707,375283,255819,146223,56074,11673,2100,614,122,42,34,33,30,17,14,4,0,0,0
46,14,956,19985,140508,525749,1281967,2166005,2693795,2794389,2705816,2576854,2158086,1403556,734678,407985,240755,136912,60555,13930,2224,583,133,33,23,9,0,0,0,0,0,0,0
47,13,655,12878,82619,285710,700962,1285987,1848523,2277402,2472796,2365896,1918550,1241065,689063,389757,236251,125725,52689,12862,2025,449,110,13,0,0,0,0,0,0,0,0,0
48,2,388,9521,69517,248302,618321,1120044,1694763,2237574,2605538,2654146,2280368,1574659,890677,476709,262695,133075,52566,15178,3916,1772,559,128,44,38,0,0,0,0,0,0,0
49,489,5932,37879,172608,511963,1129558,1886424,2629312,3303021,3733318,3681006,3047236,2048374,1157985,612141,324795,171905,80837,28116,9004,3245,1279,453,97,20,3,0,0,0,0,0,0
50,184,3929,32719,162335,511863,1129602,1951091,2800559,3413168,3686898,3597610,3032967,1989064,1019749,526474,299919,167758,80462,24858,6136,2182,753,160,56,4,0,0,0,0,0,0,0
51,139,3277,24079,116352,355187,797063,1443075,2140289,2633156,2844961,2750892,2237620,1414358,750764,391446,208018,109061,52217,15738,4053,1563,670,333,146,33,10,0,0,0,0,0,0
52,203,3833,18876,92360,280834,641616,1158603,1766423,2322702,2704688,2697669,2193427,1404007,762121,382671,186766,90117,39527,12670,3612,1328,509,279,106,39,14,0,0,0,0,0,0
53,48,1389,20178,119313,378410,865911,1552563,2325402,3023163,3535906,3636097,3156677,2207729,1264523,668484,327149,149878,64007,19921,6041,2530,1110,553,320,124,59,15,0,0,0,0,0
54,37,1432,24775,155632,510370,1176175,1961980,2658717,3246167,3658643,3704291,3229289,2146508,1149896,594820,299433,148646,67634,23155,8534,5242,3385,2187,1422,837,421,222,105,37,8,0,0
55,38,2932,49995,234383,650740,1267699,1860710,2221606,2397250,2460235,2341211,1950085,1255993,690967,406505,239465,130429,61158,20549,6360,2333,901,429,263,154,80,26,4,0,0,0,0
56,15,1595,25793,135479,402742,843781,1345277,1783512,2132559,2273325,2128049,1644061,1001035,558355,317877,179706,94103,41866,12799,2955,1270,590,332,203,100,48,37,22,14,0,0,0
57,74,1167,3294,14608,43239,67861,161328,469554,844446,1248504,1887665,2562193,2524470,1536013,737021,340109,155239,45356,7662,3227,3142,4277,2137,338,66,10,0,0,0,0,0,0
