,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,5,63,462,3188,11921,33338,69220,126840,210368,326162,469835,632513,799134,960121,1103541,1217194,1313070,1386347,1437399,1463736,1458490,1412458,1324366,1194503,1031690,864909,715463,581920,467108,371307,294791,240088,195529,157942,117180,81709,55491,45242,50464,60602,69197,70330,63591,48253,28252,10477,2313,315,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,69,876,4884,17921,49924,104546,184558,291033,426855,582852,760777,944242,1111994,1266667,1388481,1482511,1552023,1592215,1605982,1590805,1525353,1410016,1257300,1083122,906773,743848,588417,470048,380962,311195,252670,202101,154172,109810,77425,61685,68276,86754,87407,69063,47716,31331,17579,7509,2275,603,192,149,29,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,21,268,1849,8384,26677,58952,103785,173105,269975,386241,519788,660753,789189,903531,999546,1069932,1114655,1130850,1119263,1088528,1039641,971158,889537,802398,710806,614297,505538,401797,312287,244679,193948,157747,129307,96631,66835,50757,46491,42122,30082,17579,10291,5408,2812,1179,504,224,104,32,12,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0,11,537,3544,10801,32983,68823,106686,149911,209387,289217,385569,495560,616249,727933,818456,891086,945317,989713,1024476,1043247,1041022,1016213,963245,891262,808183,713296,610229,507124,408106,323323,251257,191420,145837,109566,79614,55431,41407,37359,37683,38522,35825,24457,14378,7726,3713,1351,339,80,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,48,563,2675,11126,33898,76638,138854,224931,344729,499198,672267,865946,1063800,1242739,1395308,1515013,1606495,1652739,1648439,1609421,1542994,1437594,1294500,1123930,946647,782808,641855,522757,419495,332444,259357,200591,153962,115391,80547,59639,55230,60747,63087,55167,38077,21985,11176,5156,1928,498,98,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,10,101,901,3176,11832,34229,77844,147115,248851,385493,555172,749140,950335,1134268,1300747,1436257,1545355,1616461,1657396,1664924,1619981,1536862,1411830,1254203,1083851,931795,789901,652084,531811,431973,349155,276144,212093,155038,109377,73946,56754,52749,57006,55429,41723,28881,17008,10384,6069,2744,1206,292,30,10,13,10,13,10,8,6,4,0,0,0,0,0,0
6,0,13,156,1042,5878,19588,48701,99166,175373,269886,391682,524551,656731,777011,887721,972930,1040836,1085238,1116069,1132985,1134343,1105440,1046057,945654,828482,687444,548673,434976,346223,282018,234611,197726,166355,135821,108860,81982,62182,58337,64178,67765,56869,35536,20160,11150,6433,3018,1330,579,209,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,78,2584,5949,4098,13879,35501,75990,134363,210878,308493,414343,526930,632801,723652,806890,887168,954195,1004066,1035842,1050903,1037226,995481,946967,876576,776532,659527,542809,440175,354184,284984,225440,179808,145917,117868,96741,80146,75680,73762,62817,41297,23279,12099,5745,2432,946,354,77,16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8,129,1204,5687,18918,49544,103616,183843,290383,425978,579504,737438,884117,1011128,1130950,1230571,1316566,1391528,1443958,1475211,1480352,1454176,1387362,1281226,1124554,948076,771047,611285,478685,366599,275010,205427,152254,109134,73583,48465,31885,25535,23327,16316,7500,3585,1911,1016,552,232,84,34,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
9,0,21,120,921,5012,20379,52933,107127,195991,324633,478238,648752,812790,960301,1093810,1207548,1307950,1401144,1480835,1546208,1589526,1601810,1578321,1514862,1400290,1230749,1025801,816905,638815,489737,367631,273640,203814,156737,121253,87179,54514,28102,12665,5826,2968,1581,963,575,389,264,246,93,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,5,121,991,5222,18634,44139,91504,162790,257043,369019,491114,611807,721642,813481,884587,942322,993215,1042970,1087866,1127140,1151304,1155278,1125772,1054283,913252,724331,560045,438427,347632,278142,221354,179109,143048,109474,76119,43541,18903,7014,2551,1128,522,278,174,118,44,15,16,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
