,0,1,2,3,4,5,6,7,8,9,10
0,2366151,2893280,2249581,95381,3509123,1963387,160595,3345236,1929520,4066246,0
1,2602503,3212342,2460636,104041,3875230,2132488,172960,3707799,2139713,4505288,0
2,1813012,2255319,1814091,74710,2794839,1564287,131352,2664798,1488705,3168387,0
3,1780971,2176474,1759107,73098,2667897,1518713,126636,2560506,1452794,3051304,0
4,2626659,3232013,2467292,105452,3851110,2135294,171577,3653656,2141030,4448417,0
5,2661258,3304997,2483913,109788,3922407,2150953,176510,3713498,2174737,4571939,0
6,1819368,2262538,1813022,72322,2828557,1556516,131138,2677649,1506370,3210520,0
7,1728938,2132519,1748071,68812,2667297,1491739,123231,2514955,1421005,2990933,0
8,2442798,3007095,2318735,97788,3600500,1994530,161172,3389565,1996188,4151129,0
9,2619270,3227901,2469434,103422,3857292,2136511,172604,3647317,2142610,4473639,0
10,1893985,2330719,1851762,75696,2825649,1603073,133068,2700565,1549648,3253335,0
11,1736059,2137532,1753728,68862,2609042,1503402,122837,2507915,1435731,2952892,0
12,2513764,3117426,2368329,97430,3663800,2038297,162840,3481026,2071870,4274718,0
13,2577124,3193743,2422241,102600,3797502,2083797,167846,3576501,2112967,4413179,0
14,1727201,2187404,1713709,69547,2704332,1467304,126078,2540260,1430602,3113563,0
15,860255,1276985,702428,38601,1582986,574766,68654,1398430,723327,2230568,1
16,1248473,1554606,1273439,48577,1929083,1094486,92519,1847795,1034156,2179366,0
17,2589201,3253098,2456360,101766,3939766,2116870,177716,3718007,2121132,4544084,0
18,1802084,2272377,1794144,71683,2877413,1542700,134774,2712711,1480578,3256036,0
19,1700227,2128534,1704303,66449,2684591,1468243,125980,2542780,1403332,3038561,0
20,2443100,3027697,2334809,97994,3708667,2025705,164028,3496006,1994770,4227224,0
21,2610746,3199604,2485761,109055,3869852,2147196,170719,3655700,2127466,4410901,0
22,1854803,2283975,1873797,76675,2855840,1607763,131758,2738163,1530888,3186838,0
23,1593838,2006465,1632955,67686,2557954,1392613,118065,2416060,1318093,2891271,0
24,2556433,3222996,2397967,107877,3903286,2061219,170349,3711287,2098041,4568045,0
25,1813466,2279702,1798612,79575,2864774,1542930,129239,2703878,1483994,3276330,0
26,1735626,2137612,1756358,72438,2714802,1501328,122965,2579219,1430941,3056711,0
27,1581816,1948422,1607120,66896,2477402,1382968,113563,2355140,1296427,2787246,0
28,1846782,2294851,1841587,77773,2905798,1585099,131566,2735534,1529140,3297370,0
29,1651383,2061767,1672966,66504,2586000,1436318,120376,2460378,1366517,2929791,0
30,2452577,3060501,2297003,100802,3691591,1974011,162862,3493943,2021093,4353117,0
31,2648898,3295086,2459809,107479,3932011,2122730,170522,3705440,2177108,4615917,0
32,1861268,2340957,1826543,77432,2916529,1566988,131452,2744197,1541099,3386035,0
33,1755422,2171785,1732606,76566,2745655,1491406,125156,2584043,1442698,3147163,0
34,2405508,2987352,2261873,101138,3646473,1945311,161533,3423544,1975622,4244146,0
35,2521313,3159734,2355232,108339,3856757,2018452,169547,3613338,2068194,4559094,0
36,1904382,2351994,1839863,81064,2846416,1583442,133248,2704876,1566486,3321229,0
37,1732851,2150090,1693705,75489,2636735,1470516,120631,2509734,1427578,3052671,0
38,2405666,3000863,2248705,102089,3615281,1959089,161152,3401484,1971903,4216268,0
39,2585786,3268743,2375654,105949,3835096,2058756,167572,3625565,2138621,4572758,0
40,1808149,2298867,1763177,74283,2809514,1514836,130587,2649693,1497721,3250673,0
41,2445921,3061951,2267232,96930,3636651,1954926,163061,3444221,2011024,4305083,0
42,2592342,3293311,2398179,104093,3905293,2053572,175389,3681272,2136440,4632609,0
43,1389294,1772726,1399743,55787,2242193,1197489,108365,2120243,1162683,2621477,0
44,2397731,3122637,2251833,98917,3800331,1916802,172757,3535239,1961681,4479072,0
45,1609522,2128419,1613960,68652,2754588,1362249,134558,2578668,1338210,3193674,0
46,2003880,2605515,1904105,82311,3228378,1614593,150391,3015145,1644202,3816980,0
47,1593642,2034692,1600580,64533,2550559,1374006,126551,2405107,1316113,2936217,0
48,1742151,2165826,1711262,68988,2661293,1480011,127680,2523081,1415241,3054967,0
49,2554780,3186388,2413621,101507,3857829,2107873,172513,3651328,2083360,4447801,0
50,2556012,3147489,2422342,100585,3820277,2111973,172762,3628362,2078381,4402317,0
51,1865295,2323230,1841751,73594,2885989,1591596,137088,2753613,1526064,3296280,0
52,1699985,2114966,1691366,67499,2640958,1489107,127704,2527094,1391925,3014396,0
53,2434784,3029948,2287086,95861,3636783,1999672,166233,3457943,1980174,4239016,0
54,2576971,3240154,2393670,100740,3892262,2079052,176527,3671762,2092082,4556780,0
55,1829215,2336912,1778167,73497,2912457,1539751,138344,2751796,1504207,3388154,0
56,1473684,1861817,1509271,59082,2400666,1304708,117201,2270989,1214565,2715517,0
57,1079188,1557453,1016430,69020,2242048,811380,108173,2008152,892572,2878584,1
58,1106646,1663304,1045287,57848,2360433,819651,115282,2085516,934753,3111280,1
59,2492900,3160050,2323359,99600,3819531,2006552,170798,3591192,2048227,4472791,0
60,1735743,2228485,1722151,70317,2821857,1467092,133674,2605687,1420020,3224974,0
61,1682610,2164595,1681434,68464,2718197,1429310,131351,2555855,1381466,3126718,0
62,2395792,3057994,2252489,97533,3759635,1927372,166843,3485766,1962041,4379535,0
63,2232697,2878357,2130660,89518,3520456,1822484,159244,3292665,1838237,4085682,0
64,550417,788093,428249,25990,987430,352210,39512,876403,444789,1369407,1
65,2843269,5031770,1818172,168934,6560145,1362704,232178,5468538,2367427,11446363,1
66,2505343,3158173,2373704,103227,3851241,2046071,168151,3634175,2059359,4471056,0
67,2532259,3200418,2412364,101127,3876565,2080042,171589,3635377,2068126,4464133,0
68,2411803,3102260,2256456,94232,3735161,1939908,166827,3498051,1977450,4390352,0
69,2538884,3247424,2374694,98261,3911491,2043417,172890,3662915,2081997,4560527,0
70,2527386,3209400,2340604,97075,3792679,2019879,168385,3564121,2084634,4468337,0
71,1893119,2412383,1876446,74921,2995837,1605813,138591,2838579,1567872,3408939,0
72,1634461,2057049,1665949,65357,2610784,1433876,126187,2486648,1358387,2948302,0
73,2569950,3238259,2409963,101058,3857773,2090664,172239,3641030,2105268,4488796,0
74,2622826,3293766,2451765,102090,3892471,2106130,177822,3677808,2153497,4581825,0
75,1717708,2105129,1708998,68379,2569439,1477278,125112,2470159,1407408,2933390,0
76,2452355,3027790,2317705,102052,3613207,2004806,165940,3431683,1998701,4178261,0
77,1336778,1642473,1375537,55657,2068257,1197199,101713,1995897,1096811,2314178,0
78,1226380,1658198,1108609,63175,2099028,933490,100354,1910808,1002158,2753300,1
79,2435469,3004076,2284215,98279,3556157,2001272,163385,3429338,1990346,4144463,0
80,1901542,2338179,1873649,77312,2888330,1638523,136646,2799040,1567474,3304805,0
81,1753598,2159590,1749267,72316,2688213,1524937,128758,2615778,1446012,3064031,0
82,2456240,3027599,2333143,99809,3626280,2039184,168578,3523698,2002772,4207697,0
83,2601512,3176783,2460143,105114,3797658,2148576,173315,3666304,2113983,4403612,0
84,1274018,1555151,1299733,53250,1983004,1129427,98597,1899860,1045779,2254181,0
85,913609,1576763,681037,92007,2285889,514924,88677,1886910,782012,3893672,1
86,970643,1198773,962360,41441,1490498,830801,68818,1437504,794568,1696594,0
87,2538406,3172403,2414056,107729,3905717,2085825,178279,3704526,2063175,4504884,0
88,1643344,2087192,1668653,68065,2685223,1436815,129588,2557822,1352307,3048491,0
89,2415308,3060471,2277973,100823,3734249,1982206,170279,3566045,1980979,4354167,0
90,2554800,3168707,2395425,106394,3766878,2092194,170406,3654346,2088240,4390610,0
91,1813180,2216166,1771277,79159,2692794,1539117,124392,2603818,1485738,3076359,0
92,2623607,3228267,2440431,110169,3812917,2141214,173066,3658609,2142603,4466617,0
93,2589682,3175379,2439291,109302,3760789,2124643,171821,3642753,2112980,4355860,0
94,1880375,2296373,1839247,82409,2825965,1610255,134856,2728198,1531929,3235393,0
95,1739144,2127337,1728652,75748,2631568,1496566,126641,2530808,1413724,2992812,0
96,2479699,3020541,2355903,104332,3633553,2052253,166132,3452303,2006861,4178423,0
97,2629710,3221954,2471643,110104,3832963,2137236,172769,3640303,2119329,4408989,0
98,2659687,3270088,2476009,110438,3853882,2149175,171980,3661915,2166101,4488225,0
99,1784755,2175898,1790241,76498,2698391,1544844,129499,2596249,1460675,3032950,0
100,1774942,2166927,1785762,74925,2694237,1529773,129383,2567491,1439799,3028761,0
101,1266121,1544382,1302242,53946,1961975,1129423,94036,1890602,1038529,2178744,0
