,0,1,2,3,4,5,6,7,8,9,10
0,277363,187762,798826,2172373,5099426,6490786,4872236,890163,527657,1261908,0
1,298928,201169,875310,2404055,5626986,7168557,5392932,968333,582468,1394262,0
2,213231,147544,617345,1693036,3996168,5111120,3865387,709675,413486,1002508,0
3,207549,145805,602094,1636039,3895441,4950121,3694108,683399,394289,958655,0
4,303772,204405,878047,2394519,5635184,7197893,5322769,957807,575497,1362607,0
5,310252,206971,895993,2451816,5671320,7267762,5449668,982855,597196,1436167,0
6,211554,146137,616396,1710213,4026118,5132141,3882656,713950,421227,1017608,0
7,203220,141078,583966,1603459,3824261,4888975,3644924,668120,388916,940581,0
8,281798,190273,817678,2232773,5246882,6717310,4961885,894320,537238,1279343,0
9,302480,204509,876872,2399834,5629750,7193990,5331381,961270,577532,1372382,0
10,219776,150885,637142,1735032,4144003,5281522,3901868,720727,416766,1009779,0
11,201198,141880,584173,1600378,3873528,4921507,3576472,657616,372537,898711,0
12,286226,192988,834090,2286199,5423830,6929175,5075263,910705,550748,1300276,0
13,296647,199613,861280,2365330,5527060,7088603,5242289,942539,573207,1350932,0
14,201311,137603,590181,1635243,3776499,4875960,3735614,688277,420386,1018926,0
15,112800,56947,329147,955210,1546759,2268620,2381126,425375,375247,1005769,1
16,144225,102122,422097,1163297,2793391,3556978,2662916,496012,281352,680110,0
17,297167,198834,872998,2411235,5587899,7182194,5458676,984425,597107,1427465,0
18,207922,142512,620359,1712683,3959709,5095653,3975511,731338,437914,1060899,0
19,194718,135597,580514,1601367,3769302,4820764,3702084,684142,404274,970238,0
20,281507,190330,827113,2264279,5296742,6772623,5096976,913954,555385,1321091,0
21,306527,207822,876779,2381716,5622630,7170622,5328636,946347,574038,1371883,0
22,219381,153339,627546,1724795,4132626,5257392,3920592,709817,405627,989385,0
23,189959,130683,546569,1512472,3534112,4557295,3534175,638135,388425,963175,0
24,303656,199315,871573,2382609,5435984,7024648,5492678,964118,613436,1509483,0
25,221052,148255,621235,1709504,3934304,5101935,3990704,712940,438854,1093717,0
