,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,44587,69192,6,94922,9,68647,15,96286,18,25397,26111,39935,40287,25826,25510,40942,40159,626102,111450,610100,119933,605942,110974,613974,121564,1134500,1385832,1345148,1112382,1112654,1350776,1363310,1118503,1116677,428866,1279331,414887,1080380,413074,1264736,419828,156980,157345,136566,135117,152533,151622,133131,134564,90894,46669,91667,30732,90182,45638,88702,30604,592655,414127,0
1,47378,74854,10,102377,11,74298,8,103348,10,26830,27246,43727,43192,26777,26929,44058,43839,690515,118858,680951,132097,672732,119276,680141,134174,1256868,1512184,1484176,1239584,1236460,1482997,1500918,1247146,1238352,462684,1423887,453598,1211375,447355,1400981,455736,168854,169609,152582,150312,163461,163515,146214,149062,101380,48717,103532,33563,102023,47596,99907,33489,659780,451467,0
2,34093,50775,6,77380,4,50973,3,78281,9,19338,19245,30668,30637,19261,19293,31306,30991,485857,87670,472667,91709,470802,87986,482202,93147,862381,1110970,1078347,851323,848456,1085852,1099936,866911,872371,337594,1023646,326493,840594,326668,1012411,335575,129617,128889,103323,102235,123001,122610,100762,102392,73899,40428,73736,22269,72388,39920,70855,22026,469115,328204,0
3,34319,50074,6,73593,8,49549,6,76032,9,19755,19802,30201,30386,19240,19651,31274,30990,470553,87768,454141,90492,452668,87189,463781,92614,850164,1073587,1046604,832472,827231,1047658,1067277,841766,837517,328672,970950,319285,805539,317161,954601,326572,123508,124122,99579,98341,119375,118474,96169,96953,68498,40226,70042,22401,68423,38982,66246,21677,444370,318957,0
4,48705,76308,13,102102,14,76630,12,103489,14,28184,28320,44386,44382,27843,28708,45474,45275,686365,120794,668591,135384,667666,120815,681269,137900,1267994,1508446,1477810,1243034,1242434,1486920,1500065,1270100,1232584,465790,1385937,455049,1186148,449948,1382164,463523,167897,168047,150010,148081,162107,161665,145532,148635,97141,50661,98483,35045,95623,49005,94568,34834,633429,455148,0
5,49587,78004,9,104464,9,78179,8,106375,10,27508,28583,44487,44453,28189,28303,45761,45838,703449,121302,686940,135854,685808,122616,699296,137861,1276786,1519695,1474472,1262506,1252234,1487950,1501664,1285671,1271010,469233,1430671,456276,1220754,454658,1421202,466107,172627,172882,154279,152963,166162,163942,150490,152125,104219,49568,105071,35723,102732,48675,101986,35581,675041,472152,0
6,33887,50705,2,76240,10,50710,9,76769,9,19189,19558,30603,30757,18922,19551,31163,30769,485234,88974,477151,93341,475521,88863,486363,95447,870775,1106604,1090062,863230,854281,1096610,1105432,870522,872685,332611,1020133,328932,846688,326216,1028054,332633,128851,128639,104600,103384,124502,123974,102476,103752,76031,41184,75202,22582,73477,40632,73260,22336,489634,318269,0
7,32972,48862,3,73025,6,48352,11,74385,6,18743,18949,28984,29278,19220,18680,30265,29259,457264,85241,444501,87640,444103,86213,455761,89414,828044,1057401,1033617,815785,808397,1045752,1069141,828148,815783,321754,950824,312767,782361,311409,966732,320831,121193,120700,97253,96342,116404,116228,95447,97061,67711,39247,68321,21129,66058,38511,66636,21223,444442,303711,0
8,45583,70087,10,96016,10,70092,11,97241,10,26007,26526,40478,41311,25871,26393,42045,41650,640408,113409,623567,125344,621252,114302,634899,127951,1180262,1407740,1370306,1160623,1151659,1390404,1412024,1176326,1151095,435802,1283318,423803,1103776,422132,1295510,433346,157702,157860,138962,137238,151572,150986,134673,137448,92292,47529,92898,32398,90771,45857,89759,31697,599173,422086,0
9,48554,75943,9,102564,12,75398,12,104948,9,27632,27706,44202,44126,27758,28192,45143,44561,687092,120555,670413,134541,670967,121601,681757,136773,1264833,1510546,1469225,1248373,1240842,1485062,1503544,1264859,1233821,465862,1387552,452514,1191804,452737,1385482,461292,167713,168983,149745,147612,164255,162962,146330,148971,98587,49967,99313,34364,97031,48376,97237,34549,645778,449411,0
