,0,1,2,3,4,5,6,7,8,9,10
0,13709677,6515686,1186371,26985,547126,0,0,0,0,592655,0
1,15123639,7200535,1293287,30829,604930,0,0,0,0,659780,0
2,10749428,5152488,934523,23102,440844,0,0,0,0,469115,0
3,10447449,4934307,898287,21829,421258,0,0,0,0,444370,0
4,15167340,7128153,1283278,29232,591068,0,0,0,0,633429,0
5,15323895,7299892,1317110,34258,619804,0,0,0,0,675041,0
6,10812067,5163628,941886,20662,450123,0,0,0,0,489634,0
7,10275190,4854236,881705,19049,412878,0,0,0,0,444442,0
8,14133403,6647884,1195618,27334,556088,0,0,0,0,599173,0
9,15157158,7136944,1287646,27807,594667,0,0,0,0,645778,0
10,11106971,5223337,949606,21042,442688,0,0,0,0,473856,0
11,10360010,4775760,864380,17140,394750,0,0,0,0,415960,0
12,14546541,6816356,1220275,26003,567882,0,0,0,0,612443,0
13,14906750,7021546,1267126,29141,587736,0,0,0,0,635201,0
14,10207744,4982668,911103,22171,453490,0,0,0,0,502824,0
15,4615283,3171979,582970,31954,464221,0,0,0,0,590593,1
16,7470055,3545878,648710,12744,301275,0,0,0,0,323838,0
17,15076624,7283052,1312332,29014,623640,0,0,0,0,693338,0
18,10682633,5281199,962589,21641,472835,0,0,0,0,523603,0
19,10113274,4922065,899206,19533,434618,0,0,0,0,474304,0
20,14260890,6801879,1221646,27786,577768,0,0,0,0,630031,0
21,15137893,7118929,1269668,32263,593759,0,0,0,0,634488,0
22,11087601,5209511,933247,20853,433298,0,0,0,0,455990,0
23,9551441,4685118,841059,23038,425917,0,0,0,0,468427,0
24,14754562,7321593,1294077,38219,655778,0,0,0,0,733271,0
25,10693102,5304777,946013,28544,476970,0,0,0,0,523094,0
26,10365190,4942746,887885,20519,429364,0,0,0,0,462296,0
27,9443921,4522827,807819,21503,395941,0,0,0,0,424989,0
28,10959639,5325660,958242,23992,467784,0,0,0,0,510183,0
29,9871446,4755833,859494,18884,409279,0,0,0,0,437064,0
30,14151028,6902023,1233919,32501,612445,0,0,0,0,675584,0
31,15271602,7331952,1301048,31806,621676,0,0,0,0,676916,0
32,10970719,5393302,968049,25538,488305,0,0,0,0,546587,0
33,10332008,5057942,906023,26278,452512,0,0,0,0,497737,0
34,13887578,6776220,1215488,31895,591117,0,0,0,0,650202,0
35,14479445,7230873,1292527,36819,654307,0,0,0,0,736029,0
36,11072970,5326219,968048,25324,454495,0,0,0,0,485944,0
37,10205218,4890441,866915,27265,426241,0,0,0,0,453920,0
38,13910478,6737335,1197776,35164,576666,0,0,0,0,625081,0
39,14884921,7241045,1274633,36720,618684,0,0,0,0,678497,0
40,10596290,5279842,949041,23766,456786,0,0,0,0,491775,0
41,14038041,6868644,1238739,27680,579352,0,0,0,0,634544,0
42,14864910,7406711,1337961,32078,634165,0,0,0,0,696675,0
