,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
0,44587,329095,0,264167,0,32026,0,2920039,0,270,0,4197,0,4115,0,9923105,0,90072,0,12907,0,7992,0,64105,0,13000,0,7093,0,64093,0,6417779,0,0,0,0,0,3,0,16231,0,0,0,60,0,0,0,10427,0,0,0,768,0,68,0,8710,0,0,0,8490,0,10477,0,1157858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2213,0,3150,0,0,0,1,0,0,0,21621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,0,0,0,0,0,0,0,30390,0,0,0,0,0,0,0,515088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592655,0
1,47378,354916,0,282598,0,35090,0,3228744,0,288,0,4343,0,4273,0,10960333,0,98304,0,13812,0,9298,0,70601,0,13661,0,7239,0,70491,0,7093968,0,0,0,0,0,2,0,17366,0,0,0,75,0,0,0,11394,0,0,0,818,0,59,0,8787,0,0,0,8815,0,11199,0,1263609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,0,3656,0,0,0,0,0,0,0,24653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,0,0,0,0,0,0,0,33117,0,0,0,0,0,0,0,570207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659780,0
2,34093,257431,0,200739,0,25787,0,2272040,0,189,0,3131,0,3155,0,7804176,0,71864,0,9622,0,6981,0,50537,0,9683,0,5125,0,51123,0,5075352,0,0,0,0,0,0,0,12508,0,0,0,63,0,0,0,8317,0,0,0,587,0,47,0,6273,0,0,0,6396,0,8391,0,912829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,0,2725,0,0,0,0,0,0,0,18407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,24077,0,0,0,0,0,0,0,415521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469115,0
3,34319,249277,0,201299,0,25168,0,2199206,0,241,0,3270,0,3233,0,7586759,0,69490,0,9675,0,6692,0,49081,0,9739,0,5419,0,48335,0,4860297,0,0,0,0,0,1,0,12171,0,0,0,64,0,0,0,8020,0,0,0,621,0,45,0,6513,0,0,0,6711,0,7876,0,876521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035,0,2754,0,0,0,0,0,0,0,17040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,0,0,0,0,0,0,23414,0,0,0,0,0,0,0,396495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444370,0
4,48705,358582,0,292572,0,35515,0,3218784,0,357,0,4609,0,4652,0,10996803,0,99074,0,14108,0,9063,0,70218,0,14298,0,7642,0,69941,0,7021143,0,0,0,0,0,2,0,18033,0,0,0,53,0,0,0,11339,0,0,0,906,0,68,0,9636,0,0,0,9475,0,11219,0,1251974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484,0,3409,0,0,0,0,0,0,0,23339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0,0,0,33833,0,0,0,0,0,0,0,555360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633429,0
5,49587,367058,0,293122,0,37088,0,3293126,0,273,0,4602,0,4485,0,11060978,0,101202,0,14378,0,10530,0,72997,0,14469,0,7599,0,72441,0,7189911,0,0,0,0,0,0,0,18123,0,0,0,62,0,0,0,11756,0,0,0,860,0,69,0,9481,0,0,0,9623,0,11607,0,1285470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,0,4054,0,0,0,0,0,0,0,26607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,0,0,0,0,34356,0,0,0,0,0,0,0,583555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675041,0
6,33887,254454,0,200512,0,24268,0,2290894,0,227,0,3104,0,3133,0,7857516,0,69533,0,9445,0,5832,0,49663,0,9599,0,5289,0,49999,0,5087952,0,0,0,0,0,0,0,12265,0,0,0,54,0,0,0,8069,0,0,0,563,0,42,0,6440,0,0,0,6451,0,8212,0,920178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,2213,0,0,0,0,0,0,0,16922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,0,0,0,0,0,0,0,24214,0,0,0,0,0,0,0,424704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489634,0
7,32972,244650,0,193378,0,23232,0,2150137,0,243,0,3074,0,3059,0,7486285,0,67034,0,9378,0,5573,0,47171,0,9004,0,5205,0,46962,0,4782461,0,0,0,0,0,1,0,11846,0,0,0,36,0,0,0,7725,0,0,0,604,0,37,0,6472,0,0,0,6272,0,7692,0,860628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,2183,0,0,0,0,0,0,0,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,0,0,0,0,0,0,0,22784,0,0,0,0,0,0,0,388836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444442,0
8,45583,333477,0,270281,0,33210,0,3001132,0,300,0,4281,0,4290,0,10249344,0,91627,0,13254,0,8612,0,65011,0,13001,0,7157,0,65190,0,6548782,0,0,0,0,0,0,0,16410,0,0,0,62,0,0,0,10283,0,0,0,856,0,65,0,8848,0,0,0,8699,0,10709,0,1166441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283,0,3159,0,0,0,0,0,0,0,21892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,31174,0,0,0,0,0,0,0,523201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599173,0
9,48554,358895,0,289320,0,35151,0,3223699,0,281,0,4570,0,4504,0,10987284,0,98233,0,13960,0,8802,0,69877,0,14028,0,7752,0,69491,0,7031064,0,0,0,0,0,0,0,17367,0,0,0,67,0,0,0,11203,0,0,0,932,0,66,0,9455,0,0,0,9415,0,11207,0,1256571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,3196,0,0,0,0,0,0,0,22520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,0,0,0,0,0,0,0,33428,0,0,0,0,0,0,0,559424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645778,0
