,0,1,2,3,4,5,6,7,8,9,10
0,44587,329095,264167,2920039,9923105,6417779,1157858,515088,592655,414127,0
1,47378,354916,282598,3228744,10960333,7093968,1263609,570207,659780,451467,0
2,34093,257431,200739,2272040,7804176,5075352,912829,415521,469115,328204,0
3,34319,249277,201299,2199206,7586759,4860297,876521,396495,444370,318957,0
4,48705,358582,292572,3218784,10996803,7021143,1251974,555360,633429,455148,0
5,49587,367058,293122,3293126,11060978,7189911,1285470,583555,675041,472152,0
6,33887,254454,200512,2290894,7857516,5087952,920178,424704,489634,318269,0
7,32972,244650,193378,2150137,7486285,4782461,860628,388836,444442,303711,0
8,45583,333477,270281,3001132,10249344,6548782,1166441,523201,599173,422086,0
9,48554,358895,289320,3223699,10987284,7031064,1256571,559424,645778,449411,0
10,35798,262375,211077,2332387,8082535,5146056,927314,416987,473856,329115,0
11,33549,241375,199270,2145707,7574373,4704862,842966,370810,415960,299128,0
12,46112,337759,274891,3072420,10580859,6715730,1191118,534341,612443,423827,0
13,47469,350900,283195,3176643,10805138,6917477,1236928,553120,635201,441429,0
14,32216,241989,187577,2191995,7388085,4910549,891085,429476,502824,304204,0
15,13538,134863,59227,1275183,3037003,3130795,575121,452195,590593,188482,1
16,23448,174634,140116,1559792,5452789,3494247,633765,283932,323838,215939,0
17,46354,354140,277024,3236617,10916880,7177988,1282971,589105,693338,443583,0
18,32407,252645,191715,2299452,7732266,5205864,942079,448519,523603,315950,0
19,30986,236296,183864,2148749,7352856,4851595,879696,411319,474304,293335,0
20,45106,334483,267505,3043631,10336725,6702120,1193243,545115,630031,422041,0
21,49562,362744,296646,3200438,10973847,7011495,1237849,558826,634488,461105,0
22,35878,263295,214048,2309924,8080905,5131621,910379,407569,455990,330891,0
23,30366,230653,174324,2024814,6928178,4616930,821887,404033,468427,295388,0
24,46750,362005,273523,3201062,10613063,7214060,1264625,621880,733271,467261,0
25,34625,265964,198843,2289083,7712723,5225751,924178,451865,523094,346374,0
26,33741,251897,199249,2167543,7536750,4869606,866297,405409,462296,315212,0
27,30933,231704,179808,1967339,6870966,4455178,787929,374052,424989,294102,0
28,35067,267282,205192,2314860,7950521,5246905,935810,442482,510183,337198,0
29,31090,237359,184073,2071605,7182996,4685966,839791,386333,437064,295723,0
30,44987,342251,264612,3053160,10204480,6800955,1205347,579887,675584,436237,0
31,49404,370276,290193,3261235,11039178,7222356,1270050,586334,676916,469058,0
32,35060,266390,201751,2348279,7931082,5314538,946112,462692,546587,340009,0
33,33702,256679,194103,2193640,7469615,4981993,884360,428056,497737,332615,0
34,46023,345640,266360,2992404,9990986,6673645,1186386,557983,650202,442871,0
35,47023,366252,273598,3170611,10359287,7122022,1262879,619864,736029,472435,0
36,36550,272262,214077,2354326,8000139,5244286,944533,427971,485944,352912,0
37,32720,246133,190920,2139375,7417240,4817088,846351,402647,453920,323606,0
38,43721,332342,256846,2970732,10065097,6636936,1170351,544284,625081,437110,0
39,45952,351341,269976,3190152,10774806,7134442,1245834,584525,678497,458975,0
40,33416,260302,190757,2266779,7660219,5201347,928534,431423,491775,332948,0
41,44633,338641,261231,3033504,10122705,6767310,1210748,545777,634544,427907,0
42,46564,361429,271416,3248773,10680403,7296820,1308887,598685,696675,462848,0
43,25609,197751,146036,1786629,5985644,4130167,761280,362787,420611,253486,0
44,41462,336880,238628,3095954,9848369,7082991,1279515,625816,748578,438807,0
45,28102,236892,154644,2156614,6765452,5115318,943176,488354,582463,311485,0
46,34681,286257,198121,2609313,8222485,6040387,1105013,547065,649258,372920,0
47,29766,231914,170936,2055130,6766416,4707145,874517,404957,468204,293015,0
48,33140,249055,193780,2180062,7356922,4884432,890685,398656,453639,310129,0
49,46933,353859,278329,3191837,10722636,7051583,1265045,568636,654793,443349,0
50,47274,353359,282878,3177229,10712159,6968620,1256596,558164,645409,438812,0
51,34919,263269,203194,2351085,7934916,5278450,961254,438405,500104,328904,0
52,32247,243963,187303,2142019,7286633,4836914,882656,398579,452898,301788,0
53,45082,338153,262906,3026383,10136826,6717320,1207594,543675,625374,424187,0
54,46596,357357,272401,3237748,10624928,7195975,1299289,599008,697740,448958,0
55,32921,258825,190032,2350163,7706274,5382970,982975,469830,549455,329055,0
56,27179,209773,156210,1893539,6385709,4368302,800620,380127,440316,265725,0
57,18829,192011,78058,1683748,3953376,4213424,794762,617610,807697,303485,1
58,18915,194800,74399,1765779,4028885,4487679,853916,691957,904942,278728,1
59,44613,348862,259281,3138452,10322940,7088390,1264981,589457,685575,442449,0
60,31221,249740,178926,2229775,7328423,5169670,941605,454484,528380,317776,0
61,30345,243724,173379,2163899,7109166,5046004,922721,436101,503208,311453,0
62,42571,337411,248106,3053939,9905709,6931141,1239484,593036,699958,433645,0
