,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,44587,329095,264167,32026,2920039,270,4197,4115,9923105,90072,12907,7992,64105,13000,7093,64093,6417779,3,16231,60,0,10427,768,68,8710,8490,10477,1157858,2213,3150,1,21621,1648,30390,515088,592655,0
1,47378,354916,282598,35090,3228744,288,4343,4273,10960333,98304,13812,9298,70601,13661,7239,70491,7093968,2,17366,75,0,11394,818,59,8787,8815,11199,1263609,2520,3656,0,24653,1606,33117,570207,659780,0
2,34093,257431,200739,25787,2272040,189,3131,3155,7804176,71864,9622,6981,50537,9683,5125,51123,5075352,0,12508,63,0,8317,587,47,6273,6396,8391,912829,1970,2725,0,18407,1246,24077,415521,469115,0
3,34319,249277,201299,25168,2199206,241,3270,3233,7586759,69490,9675,6692,49081,9739,5419,48335,4860297,1,12171,64,0,8020,621,45,6513,6711,7876,876521,2035,2754,0,17040,1349,23414,396495,444370,0
4,48705,358582,292572,35515,3218784,357,4609,4652,10996803,99074,14108,9063,70218,14298,7642,69941,7021143,2,18033,53,0,11339,906,68,9636,9475,11219,1251974,2484,3409,0,23339,1875,33833,555360,633429,0
5,49587,367058,293122,37088,3293126,273,4602,4485,11060978,101202,14378,10530,72997,14469,7599,72441,7189911,0,18123,62,0,11756,860,69,9481,9623,11607,1285470,3597,4054,0,26607,1893,34356,583555,675041,0
6,33887,254454,200512,24268,2290894,227,3104,3133,7857516,69533,9445,5832,49663,9599,5289,49999,5087952,0,12265,54,0,8069,563,42,6440,6451,8212,920178,1527,2213,0,16922,1205,24214,424704,489634,0
7,32972,244650,193378,23232,2150137,243,3074,3059,7486285,67034,9378,5573,47171,9004,5205,46962,4782461,1,11846,36,0,7725,604,37,6472,6272,7692,860628,1410,2183,0,15456,1258,22784,388836,444442,0
8,45583,333477,270281,33210,3001132,300,4281,4290,10249344,91627,13254,8612,65011,13001,7157,65190,6548782,0,16410,62,0,10283,856,65,8848,8699,10709,1166441,2283,3159,0,21892,1713,31174,523201,599173,0
9,48554,358895,289320,35151,3223699,281,4570,4504,10987284,98233,13960,8802,69877,14028,7752,69491,7031064,0,17367,67,0,11203,932,66,9455,9415,11207,1256571,2091,3196,0,22520,1815,33428,559424,645778,0
10,35798,262375,211077,26254,2332387,261,3384,3309,8082535,72066,10133,6803,50473,10116,5678,50815,5146056,0,12539,49,0,8200,649,61,6590,6808,8184,927314,1819,2393,0,16830,1332,24369,416987,473856,0
11,33549,241375,199270,23143,2145707,229,3325,3272,7574373,64915,9574,5428,46476,9374,5506,46219,4704862,0,11788,43,0,7342,635,41,6586,6679,7473,842966,1254,1985,0,13901,1347,22593,370810,415960,0
12,46112,337759,274891,33050,3072420,305,4313,4321,10580859,92282,13204,7915,66107,13003,7241,66490,6715730,2,16375,60,0,10458,803,76,8627,9021,10630,1191118,1958,2907,0,21138,1767,31774,534341,612443,0
