,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0,0,0,0,8,30,52,214,631,1933,3682,6720,11896,18327,26714,37393,51331,68991,89144,113807,142726,176903,212948,253272,294230,338335,380031,422376,463881,504317,541514,573267,602118,628754,653379,675182,693069,709643,723411,733625,740630,744019,741359,734479,723713,704167,681439,651589,615851,576997,533217,489644,445592,405428,367314,332979,299660,268605,239077,214770,191039,168778,151296,135151,123152,110965,100413,91039,82214,72141,61411,51305,42872,34712,28663,23585,21481,21331,23246,26233,29208,31283,34156,35344,36014,35164,33515,30696,26727,21904,16440,11068,6372,3168,1311,478,156,55,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,10,23,79,501,1136,2745,5545,10230,18076,28106,41602,56900,76672,99876,126622,156958,191474,229261,268087,311268,358311,403865,452050,499406,540841,583014,622714,659121,688205,716386,740757,759954,779019,792496,803182,808958,813671,814029,810029,800024,780177,757182,726815,687734,648147,603200,559973,511953,466407,423725,383614,342565,303323,268689,241076,215281,194689,176528,159454,144115,129913,116479,104930,92129,80408,68230,57740,47823,39684,34246,29928,29088,31201,35714,41711,45219,45584,42642,37778,31528,26182,21703,17456,13555,10035,6790,4409,2436,1233,618,285,163,85,85,78,40,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,42,109,370,955,2236,4734,9157,14860,22960,31940,42494,55562,72738,94205,118904,145601,174834,209097,242507,278430,315518,350483,383458,414527,443733,470084,494882,516326,534193,549273,559594,567708,571610,570989,568456,563884,555548,544774,533218,515496,498106,477557,455216,433594,410359,386400,362189,339973,316848,287758,261019,233321,208678,182242,161031,142485,125982,112096,99713,88970,80614,74086,66493,59918,51184,42398,34748,28601,24996,23381,22976,22789,22201,19666,16784,13174,9586,7557,5774,4184,2965,2196,1555,985,584,371,265,152,119,74,45,26,15,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,69,404,1227,2314,3389,6458,12215,19888,29565,37981,47391,56843,66715,78104,93046,109455,130467,152011,178060,204686,233094,263149,294363,326314,354559,380425,403590,424029,442329,456638,470024,483420,496368,506095,514505,524247,528246,528493,529730,526985,519808,507072,493786,477715,455542,436356,412399,390634,365052,340139,313145,286990,261682,235400,211336,187490,165868,147125,129867,113687,98435,86119,75875,65583,56999,49424,41917,34611,28596,24028,20927,18630,18007,18201,18846,18508,19006,19456,19025,16785,13739,10572,7830,6085,4465,3020,2075,1343,776,340,165,61,36,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,4,79,284,584,1325,3076,6120,11289,18745,29234,41732,56497,74051,94641,120547,150058,184310,224593,267277,312284,358160,409551,460734,512142,562922,608624,650127,690467,724095,754432,783252,806684,823737,835788,841024,839865,832228,823224,807529,787794,768101,738351,706713,667113,624939,579119,532646,485727,440926,399994,363636,328849,295611,266748,241486,215450,191753,170917,152808,134095,118565,104168,90963,80287,70010,60444,51168,42186,34826,29924,27060,25876,27356,29551,31132,32098,31380,29626,25552,21114,16704,12234,8807,6334,4303,2821,1861,1060,599,244,107,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,13,46,251,551,723,1681,3336,6607,11414,18872,29579,42070,58563,79712,104850,134243,169147,208597,251768,299126,349174,401201,453505,504183,549210,594882,639264,676212,710955,744839,770898,794840,812028,826274,838765,844206,847373,840777,829329,810282,787305,760214,725717,688234,646248,599238,556673,513771,476849,439535,404100,368799,334415,302255,272932,245562,222009,199811,180913,160676,142922,126533,111131,95122,81424,68883,57766,47045,38375,32585,28092,26438,25387,25873,27591,29039,28861,26562,22608,19030,15956,12488,9456,7157,5522,4382,3343,2269,1444,903,606,354,132,32,6,7,10,4,7,8,7,2,6,5,7,4,3,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,14,87,239,567,1602,3427,6709,11306,18149,27704,39386,55531,74403,95342,118762,147165,178141,211338,245013,280285,313870,345894,376688,406350,434763,460240,482092,500041,518103,532741,543212,552440,563298,568178,572623,575682,577364,573045,565951,554120,537293,515810,487736,458080,427404,394763,356819,317558,283710,251921,222797,198389,177036,157837,143117,131024,119411,109135,101161,93437,85665,77873,70263,62561,56741,49453,42492,36729,30796,28084,27170,28948,31227,32815,33938,33863,31528,25434,19845,15502,11333,8099,6221,4489,3422,2608,1669,1054,709,485,340,184,107,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,3,61,498,2742,3920,1264,1089,2114,4412,7990,12896,20034,29590,42380,56159,73482,91610,114841,139794,166449,192854,220489,249899,278264,304236,331918,353357,375369,394642,416472,437233,456844,474769,490220,502785,514152,521652,527773,533590,531702,527770,521962,509784,495914,483429,469280,450546,427773,402199,371440,341477,310686,280272,251693,227268,203505,180915,163124,146150,130710,115626,103059,91198,83036,74982,66529,59915,54651,49180,44186,39395,37124,36497,37378,37017,36470,34067,28873,23031,17826,13060,9424,6733,4651,3037,2019,1240,798,457,276,185,75,34,11,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,15,51,196,790,1579,3164,5987,10791,17934,28226,41014,56984,76917,99939,126573,156998,191933,229697,268945,309022,349773,390294,426837,461158,494264,524025,554989,583450,607720,633221,655045,676020,696345,711460,726643,736993,745848,751793,751690,749546,741727,729379,710664,687734,661443,624180,581001,537079,490021,445051,399932,356579,314987,278862,245954,216762,189265,164439,141678,121365,105658,91174,78555,66894,56714,46741,38408,31340,25240,20133,16358,13517,12156,12076,11973,10695,9170,6782,4307,2734,2007,1409,1080,697,536,398,292,206,121,72,46,24,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,6,22,52,212,501,1132,2857,6382,12111,19452,29352,42075,59347,81030,107978,141256,176891,216104,257725,302728,346440,388696,426241,463974,501896,533923,563952,593455,620456,645555,672665,694732,721095,740600,758701,776177,791940,802780,809449,811845,813110,804884,792106,775926,751087,721315,683487,638288,588731,534151,478241,425085,375243,330443,289067,251945,219439,188497,162976,139563,120811,104159,90652,79892,70402,62572,54635,46021,37329,29367,21653,14897,10248,6573,4178,2954,2093,1556,1028,794,616,452,388,268,208,188,140,129,138,131,83,45,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
