,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,y,256
0,0,0,0,0,0,0,0,0,0,8,7,23,23,29,81,133,246,385,745,1188,1629,2053,2757,3963,5276,6620,8164,10163,12129,14585,17313,20080,23641,27690,32015,36976,41769,47375,53381,60426,67183,75543,83541,93362,101725,111223,121727,131545,141385,152845,163771,174564,184881,195150,205846,216530,226331,237550,247167,257150,266499,275015,282539,290728,297444,304674,312205,316549,323551,329828,334673,340509,343709,349360,352465,357178,359872,363539,365811,367814,368788,371842,371875,372144,370666,370693,368264,366215,363854,359859,354742,349425,343961,337478,330502,321087,312184,303667,293708,283289,272845,260372,250917,238727,227927,217665,207890,197538,187992,179322,170795,162184,154033,145627,138403,130202,122687,116390,110641,104129,98241,92798,86742,82036,77692,73604,69008,66143,63091,60061,56977,53988,51266,49147,46466,44573,42262,39952,37407,34734,31993,29418,26816,24489,22451,20421,18267,16445,14933,13730,12294,11291,10702,10779,10591,10740,11257,11989,12769,13464,14366,14842,15228,16055,16935,17221,17524,17820,18139,17875,17486,17678,17053,16462,15723,14973,14027,12700,11651,10253,8884,7556,6115,4953,3648,2724,1934,1234,770,541,313,165,99,57,31,24,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,2,8,9,14,21,58,182,319,433,703,1068,1677,2393,3152,4314,5916,7897,10179,12703,15403,18864,22738,26293,30607,35287,41385,47072,52804,60008,66614,74318,82640,91459,100015,110252,119009,129387,138700,150344,160924,173532,184779,196134,207731,220068,231982,244204,255202,265199,275642,286461,296553,307100,315614,324782,334339,340347,347858,355027,361359,366760,373997,377002,382952,387709,391310,395379,397117,399963,403219,404111,404847,406972,406699,407121,406908,405888,404141,400568,399456,393509,386668,382476,374706,368017,358798,348552,339182,329424,318723,307731,295469,285974,273999,261385,250568,238515,227892,216654,207071,197139,186475,176579,165986,155980,147343,138490,130199,123787,117289,110617,104664,99297,95392,90312,86216,81877,77577,73580,70535,66481,63432,59597,56882,54207,50723,47675,44454,41746,38662,35347,32883,30309,27431,25084,22739,20536,19148,17833,16413,15332,14596,14486,14602,15064,16137,17069,18645,20220,21491,22352,22867,22872,22712,21844,20798,19609,18169,16479,15049,13611,12571,11428,10275,9296,8160,7242,6313,5449,4586,3776,3014,2464,1945,1430,1006,707,526,343,275,145,140,102,61,40,45,40,45,43,35,25,15,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,44,65,142,228,399,556,906,1330,1971,2763,3865,5292,6736,8124,10465,12495,14702,17238,19666,22828,25713,29849,34221,38517,43802,50403,56386,62518,69093,76508,83454,91380,100198,108899,116690,125817,135151,143279,153373,162145,171555,178928,187377,196081,203316,211211,218655,225078,232065,238019,244498,250384,256190,260136,264587,269606,272924,276349,278999,280595,283186,284522,285953,285657,285487,285502,284292,284164,282999,280885,279284,276264,272907,271867,268275,264943,259602,255894,251592,246514,241550,236007,231090,224126,219440,214154,208155,202204,195568,190832,183977,178212,172453,167520,161796,155052,147424,140334,133796,127223,120467,112854,107749,100929,93894,88348,82594,78437,73530,68955,64898,61084,57483,54613,51440,48273,45550,43420,41236,39378,38097,35989,33855,32638,31038,28880,26838,24346,22162,20236,18186,16562,15083,13518,12832,12164,11751,11630,11540,11436,11233,11556,11320,10881,10232,9434,8875,7909,7039,6135,5151,4435,4034,3523,3143,2631,2305,1879,1594,1371,1159,1037,884,671,546,439,334,250,185,186,155,110,84,68,65,54,41,33,22,23,20,6,8,7,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,4,65,141,263,453,774,1050,1264,1675,1714,2594,3864,5353,6862,8844,11044,13611,15954,18118,19863,22552,24839,27037,29806,31868,34847,37654,40450,44802,48244,52280,57175,62765,67702,73044,78967,85733,92327,98840,105846,113346,119748,127182,135967,142941,151422,159292,167022,174281,180278,187510,192915,198787,204803,209913,214116,218955,223374,226059,230579,233807,236217,240062,243358,247190,249178,251820,254275,256504,258001,261730,262517,263534,264712,263815,264678,265342,264388,264047,262938,261330,258478,255073,251999,248917,244869,241236,236479,230267,225275,220498,215858,208643,203756,198202,192432,185400,179652,173433,166706,159946,153199,146379,140611,134168,127514,120563,114837,109171,102165,96411,91079,85261,80607,75729,71396,66786,63081,58760,54927,50888,47547,44762,41357,39222,36653,33739,31844,29658,27341,25768,23656,21965,19952,18164,16447,15056,13540,12486,11542,10858,10069,9489,9141,8974,9033,9025,9176,9453,9393,9418,9090,9412,9594,9611,9845,9639,9386,8675,8110,7312,6427,5645,4927,4133,3697,3352,2733,2449,2016,1636,1384,1115,960,745,598,450,326,194,146,94,71,40,21,21,15,14,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,0,0,0,4,31,48,112,172,214,370,547,778,1241,1835,2633,3487,4857,6432,8392,10353,13127,16107,19192,22540,26228,30269,34518,39533,44469,50172,56860,63687,71037,79021,87680,96630,106824,117769,128133,139144,150532,161752,172779,185381,198284,211267,223527,237207,249745,262397,275451,287471,299393,309231,320274,329853,340122,350345,358687,365408,373930,380502,388531,394721,400949,405735,410453,413284,416697,419091,420853,420171,420487,419378,416378,415850,412975,410249,405906,401623,397154,390640,386717,381384,372840,365511,358441,348272,337809,329304,317950,306989,295514,283605,271625,261021,248857,236870,225755,215171,204922,195072,186207,177429,168420,160429,152032,143579,136643,130105,124256,117230,110310,105140,98975,92778,88075,82842,78541,74267,69155,64940,60943,57622,53700,50468,47042,43921,41432,38855,36307,33703,31395,29049,26897,24271,21969,20217,18255,16571,15645,14279,13814,13246,12934,12942,13491,13865,14517,15034,15396,15736,16159,15939,15949,15431,15013,14613,13368,12184,11219,9895,8831,7873,6665,5569,4799,4008,3512,2822,2381,1922,1509,1312,1072,789,559,501,330,269,139,105,70,37,24,11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,2,11,18,28,77,174,248,303,317,406,664,1017,1424,1912,2829,3778,4872,6542,8400,10472,13231,16348,19114,22956,26951,31612,36757,42955,49264,55586,62975,71268,79700,89447,98726,109871,120066,131702,143740,155386,168274,180900,194500,206701,220599,232906,246337,257846,269072,280138,292172,302710,315132,324132,333704,342508,351172,359783,368866,375973,382140,388758,394446,400394,404103,407925,411269,415005,418121,420644,421256,422950,423643,423730,420933,419844,415756,413573,407786,402496,396362,390943,383770,376444,367866,357851,349510,338724,328441,317807,305457,293781,283426,273247,261785,251986,243233,233616,224672,214863,206318,197782,188993,179806,171722,162693,155019,147236,140202,132730,125527,120035,114184,107825,102423,97388,93069,87844,82945,77731,73759,69163,65245,61288,57665,53466,49747,45375,42091,39333,36057,32826,30386,27380,24694,22351,20327,18048,16997,15588,14323,13769,13402,13036,12788,12599,12990,12883,13546,14045,14452,14587,14391,14470,13697,12865,11796,10812,9832,9198,8299,7657,6670,5818,5098,4358,3872,3285,2916,2606,2289,2093,1822,1521,1240,1029,764,680,497,406,349,257,225,129,79,53,23,9,3,3,4,3,7,3,3,1,3,4,2,6,2,5,2,0,3,3,1,4,3,4,2,2,1,2,3,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,4,10,20,67,103,136,224,343,618,984,1369,2058,2773,3936,4918,6388,8074,10075,12548,15156,17974,21412,25584,29947,34786,39617,44865,50477,56260,62502,69900,77265,85189,92952,101171,110167,118151,126862,135847,144438,153196,160674,169191,176703,184648,192040,199555,206795,213872,220891,227428,232812,238617,243475,248196,251845,257119,260984,265349,267392,270012,273200,275102,277338,280222,283076,283212,284966,285510,287113,288116,287566,288440,288924,286921,286124,283874,282077,279027,275093,271047,266246,261524,254286,247807,239929,232664,225416,218109,209295,201622,193141,183317,173502,163556,154002,146306,137404,129887,122034,114484,108313,102074,96315,91241,85795,81352,76485,73406,69711,66907,64117,60853,58558,55722,53413,51442,49719,47702,45735,43849,41816,39798,38075,35857,34406,32118,30443,28988,27753,25552,23901,22037,20455,19213,17516,16044,14752,14350,13734,13487,13683,14183,14765,15389,15838,16323,16492,16824,17114,17107,16756,16377,15151,13436,11998,10468,9377,8338,7164,6150,5183,4384,3715,3361,2860,2438,2051,1811,1611,1423,1185,909,760,582,472,399,310,266,219,197,143,101,83,54,53,26,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,3,9,52,124,374,741,2001,2881,1039,713,551,475,614,883,1231,1841,2571,3483,4507,5661,7235,9048,10986,13364,16226,19436,22944,26358,29801,34645,38837,43234,48376,54094,60747,67109,72685,79549,86900,92888,99966,106257,114232,121044,128855,135381,142883,148742,155494,162854,169064,173866,179491,184909,190460,194865,199777,205909,210563,215856,221377,225825,231019,235417,239352,243761,246459,249872,252913,256106,258046,259698,261954,262981,264792,266975,266615,265588,266114,264438,263332,262905,259057,256576,253208,249229,246685,243220,240209,237156,232124,227600,222946,217024,210749,205038,197161,189796,181644,174996,166481,159018,151668,143788,136484,129501,122192,116884,110384,104600,98905,92555,88360,84193,78931,75394,70756,67303,63407,59321,56305,53163,49896,47137,44061,42207,40829,38680,36302,34191,32338,30899,29016,28001,26650,25000,24180,22706,21480,20149,19246,18651,18473,18339,18158,18742,18636,18700,18317,18381,18089,17564,16503,15237,13636,12292,10739,9574,8252,7071,5989,5105,4319,3636,3097,2507,2144,1698,1339,1125,894,706,534,421,377,273,184,151,125,102,83,46,29,16,18,3,8,4,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,3,12,19,32,64,132,301,489,637,942,1281,1883,2567,3420,4732,6059,7923,10011,12710,15516,18657,22357,26192,30792,35905,41012,46747,53192,59540,67033,74269,82729,91173,100760,109892,119805,129482,139463,149260,159762,169995,179778,190198,200096,208733,218104,226277,234881,242763,251501,258222,265803,273278,281711,288576,294874,300483,307237,313466,319755,324550,330495,335016,341004,346234,350111,354408,357052,361671,364972,366795,370198,372262,373586,375445,376348,376027,375663,375363,374183,371730,369997,366662,362717,358361,352303,346905,340829,334189,327254,316580,307600,295678,285323,274120,262959,250621,239400,228105,216946,205445,194487,183937,172642,162037,152950,143880,134982,127064,118890,111958,104804,97682,91583,85125,79314,73384,68294,62760,58605,54948,50710,47221,43953,40760,37795,34744,32150,29435,27279,24618,22123,20105,18303,16564,14776,13363,11877,10611,9522,8596,7762,7033,6484,6182,5974,6061,6015,6088,5885,5292,5403,4846,4324,3724,3058,2344,1963,1495,1239,1132,875,793,616,581,499,384,313,284,252,228,170,159,133,112,94,63,58,38,34,29,17,13,11,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,6,12,10,11,41,80,132,224,277,420,712,1091,1766,2697,3685,5231,6880,8730,10722,13411,15941,19160,22915,27479,31868,37439,43591,50366,57612,66038,75218,83622,93269,103140,112964,123484,134241,145882,156846,168024,178416,189489,199207,207539,218702,227861,236113,246626,255270,263411,270512,277870,286082,293119,300336,306961,313495,319668,325887,333431,339234,344260,350472,357083,364012,367602,372998,377325,381376,385573,390604,394300,397640,400074,402706,403884,405565,404734,407111,407453,405657,403499,401385,397586,394520,390069,385857,379106,371981,365185,356130,347349,336138,325007,313281,300850,287881,273733,260418,246107,232134,219050,206035,193921,181322,170750,159693,149680,139387,130190,121755,113223,106216,97925,90572,84461,78515,72629,66934,62622,58189,53929,50230,46704,43948,41289,38603,36194,34208,32196,30376,28284,26351,24203,21818,19737,17592,15578,13789,11783,9870,8105,6792,5626,4622,3587,2986,2313,1865,1576,1378,1099,994,832,724,566,462,415,379,308,308,240,212,203,185,145,123,109,99,93,95,75,65,61,68,74,64,61,70,49,34,27,18,9,13,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
