,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,304,12966,94330,323273,785849,1434972,2082979,2559433,2859748,2960487,2760908,2215709,1551313,1022112,646264,425569,267071,129832,92291,129991,135389,76139,11329,242,0,0,0,0,0,0,0
1,0,613,19656,144684,460128,1000090,1713632,2405690,2905302,3183655,3237753,2951908,2323273,1616311,1028369,674786,443451,254201,132946,153845,157532,78896,23670,2299,288,22,0,0,0,0,0,0
2,0,151,8295,78917,264999,648436,1186938,1711802,2094674,2269901,2232662,2024377,1685569,1306768,885260,541594,343383,219993,111726,87632,47101,15119,3495,610,94,4,0,0,0,0,0,0
3,0,4014,41950,171780,347320,665224,1116920,1562603,1852411,2041215,2113454,1998381,1694931,1305326,895908,556547,326012,182951,92181,73562,74272,38226,10903,1342,67,0,0,0,0,0,0,0
4,0,367,11105,101000,345736,826238,1540729,2333815,2952246,3307233,3302846,3000959,2403817,1690283,1132694,730928,447791,261909,133996,113915,118656,58859,15319,2010,49,0,0,0,0,0,0,0
5,0,861,12347,101935,377368,928638,1708063,2459568,3021532,3321273,3327761,2961470,2315930,1689283,1155164,763409,475708,255118,125490,107890,97061,45057,15516,3307,177,29,20,20,5,0,0,0
6,0,907,23044,140770,435672,914777,1442802,1877136,2146496,2279781,2270480,1998919,1496544,956817,609014,423144,296362,185415,114998,131843,92309,30142,8753,1718,157,0,0,0,0,0,0,0
7,64,8424,15605,104900,336092,719586,1164317,1539840,1859066,2066362,2115024,1958407,1651958,1184128,774812,495545,315745,207932,150394,136427,63341,16440,2771,305,15,0,0,0,0,0,0,0
8,0,1052,21521,144158,460427,999597,1628062,2156728,2572006,2871441,2998877,2869504,2403703,1691583,1056565,616747,342281,173203,75248,46900,22993,5193,1432,263,16,0,0,0,0,0,0,0
9,6,787,22482,150226,507155,1122997,1780807,2311786,2734047,3067418,3237184,3124003,2631821,1812720,1090894,611847,345105,200557,76165,15798,3994,1316,595,281,9,0,0,0,0,0,0,0
10,0,792,21122,126958,410267,858903,1341089,1708163,1951005,2158574,2313631,2305407,1961802,1256977,764915,483684,311744,176776,56157,7672,1334,396,91,32,9,0,0,0,0,0,0,0
11,6,870,20541,128975,378649,767138,1194552,1580643,1912118,2132064,2178568,2036149,1702822,1186918,736441,447456,253176,118895,37721,9693,2746,849,507,330,156,17,0,0,0,0,0,0
12,0,692,26084,174235,509925,1064491,1680689,2200868,2629310,2996903,3199039,3095238,2480632,1582276,955102,566521,342392,190350,73418,16955,3052,759,392,143,34,0,0,0,0,0,0,0
13,34,625,19281,128641,413695,928925,1589546,2220525,2758768,3201187,3362775,3119493,2518478,1779498,1116738,668158,368809,176223,57341,14086,3499,851,286,32,6,0,0,0,0,0,0,0
14,97,639,17605,115937,378324,841969,1324435,1680329,1983361,2281722,2432811,2193315,1579484,990053,578743,344458,204761,95656,27950,5482,1680,668,380,127,14,0,0,0,0,0,0,0
15,20,4368,11455,11901,83304,379306,773371,1159694,1528773,1722591,1598162,1137678,543886,254717,140474,69735,28785,7978,674,91,37,0,0,0,0,0,0,0,0,0,0,0
16,4,3033,16128,92888,284818,596720,962000,1289484,1544338,1709086,1708990,1476844,1047425,649296,407138,250405,149241,77463,28298,6739,1691,351,111,9,0,0,0,0,0,0,0,0
17,5,1641,46001,270888,763135,1512555,2211985,2662674,2962380,3205666,3280435,2945199,2095369,1262977,783630,492856,293675,153371,55833,13487,3328,625,199,58,28,0,0,0,0,0,0,0
18,0,813,31625,197084,581463,1183808,1756330,2092125,2290127,2424256,2374176,1965329,1302320,766038,462095,274447,149232,65516,21294,4622,1244,468,76,12,0,0,0,0,0,0,0,0
19,0,396,19880,145179,452162,950735,1471595,1825699,2087466,2277166,2289908,2003501,1401352,818957,492581,308792,187751,91453,28915,6787,1813,671,187,54,0,0,0,0,0,0,0,0
20,0,341,17371,138204,446167,982401,1637839,2224170,2691306,3078395,3259887,3076335,2410669,1562088,920026,530784,306228,156487,59642,16658,3957,862,183,0,0,0,0,0,0,0,0,0
21,2,805,16467,106737,327328,702464,1262944,1900697,2501622,3025415,3376176,3425580,3023734,2197729,1373222,786842,433321,212220,80675,22010,5846,2055,995,653,528,409,255,201,68,0,0,0
22,19,133,9450,71780,235962,530851,946918,1447494,1922657,2310785,2527268,2493008,2144243,1524168,941498,530503,288574,142287,52814,14617,4003,1037,337,74,17,3,0,0,0,0,0,0
23,0,1915,13133,78665,228910,507840,898046,1287471,1648558,2059161,2361953,2329542,1840477,1223946,754801,427541,207388,87222,28718,7757,1402,341,110,68,35,0,0,0,0,0,0,0
24,2,226,12285,86430,275841,598509,1128210,1770100,2420516,3092088,3703420,3789515,3182863,2164226,1255798,695754,373509,174617,57514,12939,2486,415,130,81,26,0,0,0,0,0,0,0
25,2664,23369,32138,75835,184329,367020,655879,1048920,1490119,1984635,2567518,2935276,2574907,1842572,1107227,599890,304008,124077,39048,9269,2015,420,158,141,136,99,131,156,167,216,140,21
26,134,2301,14449,75213,214174,448471,792214,1221565,1665693,2109215,2524683,2726811,2303340,1495472,819758,401539,177889,75579,27637,8267,2556,623,199,147,49,10,9,3,0,0,0,0
27,14,668,5559,48243,154957,347166,640446,1018170,1393483,1775847,2159147,2289264,2032162,1584646,1094810,609852,285086,120323,40274,13224,2900,544,142,60,13,0,0,0,0,0,0,0
28,0,118,7559,66570,221342,500619,885460,1319008,1807695,2346033,2775117,2727659,2232626,1503221,904722,507078,266480,123606,39606,8601,1595,526,218,41,0,0,0,0,0,0,0,0
29,10,426,11770,82214,238677,533201,966878,1403573,1792514,2182606,2423651,2296665,1799375,1160458,695049,405344,220500,96285,31938,8662,1895,249,60,0,0,0,0,0,0,0,0,0
30,0,439,13512,100288,351842,796441,1459419,2110940,2560955,2889104,3230397,3399554,2798232,1678985,985562,597605,347447,187170,75223,19986,3366,671,300,47,15,0,0,0,0,0,0,0
31,8,6246,78856,231498,385137,641914,1113126,1760735,2434052,3016220,3487123,3665978,3158098,2188629,1360597,831059,502386,254282,88277,23826,5476,882,402,137,52,4,0,0,0,0,0,0
32,32,777,12198,85904,284490,676699,1205619,1651776,1983823,2243603,2465496,2565285,2101004,1290097,800805,498671,295641,150622,57720,17081,3645,690,426,271,90,34,1,0,0,0,0,0
33,19,378,8174,66035,211222,487513,898097,1329606,1674842,1909732,2093605,2263578,2096554,1562643,1121222,759425,452103,215230,79286,30657,10372,1999,207,1,0,0,0,0,0,0,0,0
34,0,1610,15736,88805,267678,633923,1199875,1836651,2418750,2875377,3227766,3362126,2879778,1901783,1100138,645407,392550,197905,69016,21895,10347,4643,732,9,0,0,0,0,0,0,0,0
35,14,558,8246,56081,204512,534704,1126622,1889402,2611199,3204152,3658689,3952555,3319745,1939912,967426,501167,280282,132751,34053,5993,1198,465,269,5,0,0,0,0,0,0,0,0
36,0,130,6908,64956,228851,570482,1105603,1696230,2176359,2454351,2524769,2401928,2101038,1440938,769692,411131,238156,112807,24623,3293,668,87,0,0,0,0,0,0,0,0,0,0
37,6,710,13011,85927,264222,575579,1014694,1508469,1909350,2169003,2273082,2215319,1992265,1428692,733301,364654,204263,94987,19782,2037,400,172,67,8,0,0,0,0,0,0,0,0
38,51,1877,39596,221492,573094,1125364,1819885,2415163,2756474,2827902,2775056,2638928,2309472,1707330,917298,467292,285383,150535,42069,6091,1367,379,168,119,102,13,0,0,0,0,0,0
39,0,932,25315,162419,494297,1053570,1795879,2546727,3090517,3330157,3312220,3050323,2485445,1627432,850684,458576,260981,130532,46560,9282,1366,632,400,194,46,12,2,0,0,0,0,0
40,0,265,9089,58368,205398,501280,969263,1548209,2101084,2488273,2647124,2571644,1999247,1219344,673216,372781,247241,136941,41029,6277,1096,193,83,33,22,0,0,0,0,0,0,0
41,8,302,9124,80129,315872,810434,1547619,2355798,3043116,3454703,3467654,3102708,2307620,1344884,725065,418023,236037,117084,39969,8451,1821,491,57,25,6,0,0,0,0,0,0,0
42,0,274,12179,107657,409967,1036608,1907045,2723641,3252909,3439239,3335917,3034772,2352117,1494682,834367,489836,313203,164393,51193,9150,1923,875,405,92,56,0,0,0,0,0,0,0
43,29,942,17143,121766,379769,842260,1392198,1748185,1879942,1852739,1739741,1515181,1101119,638642,367123,241612,140163,65113,20300,4150,1155,529,199,0,0,0,0,0,0,0,0,0
44,32,1044,22534,149365,503144,1252712,2274095,3014971,3328683,3399579,3215850,2619366,1721189,998822,584865,347343,195122,80618,21143,4846,1244,380,53,0,0,0,0,0,0,0,0,0
45,0,2083,37645,205579,671266,1474906,2176419,2272108,2000332,1852505,1881557,1701782,1101829,582755,367212,250094,140199,51853,9895,1724,510,85,36,35,31,26,19,15,0,0,0,0
46,5,695,17921,132879,518852,1293316,2193163,2717951,2807707,2724912,2599720,2155443,1369881,703965,392754,233228,132166,56647,11890,1768,495,89,25,24,4,0,0,0,0,0,0,0
47,2,492,11451,77346,277574,696923,1291627,1865654,2310565,2507286,2389594,1915149,1210957,663538,374620,228147,119400,48702,10871,1635,399,68,0,0,0,0,0,0,0,0,0,0
48,0,257,7980,63947,237110,609223,1117796,1707779,2272145,2655892,2692815,2285710,1543926,857318,455887,251191,124761,47863,13330,3375,1571,464,82,46,32,0,0,0,0,0,0,0
49,364,5138,34346,162359,496346,1120997,1892310,2651543,3358489,3802548,3727733,3041956,2004067,1109382,584084,309291,163030,75622,25257,7801,2840,1091,329,60,17,0,0,0,0,0,0,0
50,99,3106,28996,150730,490567,1116506,1960717,2843480,3472336,3746116,3644046,3028526,1933717,968526,501851,287457,159466,74839,21722,5137,1855,557,107,41,0,0,0,0,0,0,0,0
51,76,2722,21431,107877,340738,786667,1452158,2172311,2677490,2888498,2783488,2228523,1374293,715593,372689,198471,103297,48702,13737,3432,1318,579,282,99,24,5,0,0,0,0,0,0
52,101,3429,16662,85785,269122,630275,1159898,1785583,2362475,2758083,2735487,2187384,1366899,729095,362359,175001,84593,36651,11155,3106,1028,439,260,103,21,6,0,0,0,0,0,0
53,22,1030,17550,110506,362504,852999,1553812,2344117,3069310,3601436,3692521,3165285,2169011,1217318,637730,306073,140298,59062,17645,5207,2232,924,486,263,102,48,9,0,0,0,0,0
