,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,38,266,2564,10402,30223,64107,120322,202951,319629,466220,632565,802407,968198,1114781,1230872,1328561,1402712,1457036,1484649,1475838,1427880,1333028,1192848,1022861,851020,700293,568265,453847,359817,286447,234117,191452,154355,112716,77584,52248,42812,49479,60491,69500,71178,64211,48631,27508,9540,1789,211,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,33,580,3881,15775,46182,98502,176548,283580,420735,579355,762176,951456,1123855,1281835,1404591,1500711,1571515,1612140,1627700,1610053,1537359,1414549,1251347,1071926,890132,726179,572012,456357,371217,303569,246392,197059,148638,105563,73930,59016,66915,86930,88226,69306,47885,31011,16825,6845,1851,448,170,118,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,151,1325,6970,24017,54900,98056,166943,264505,383931,520937,666001,797985,913817,1011208,1083466,1127302,1142599,1132340,1100322,1048714,975663,888810,796759,702162,604606,494340,390920,303516,238078,188683,154700,126411,93582,63349,48377,45765,41867,29958,17143,9958,5161,2540,955,417,193,71,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,473,3541,9847,32103,67546,104234,144819,202501,282478,382746,496243,620677,734984,827619,898967,953444,1002463,1038752,1056739,1056715,1026880,971501,891898,803033,705191,600135,497082,398826,312993,243554,184554,141458,106423,76528,52624,39557,36208,37354,38462,35810,24311,13915,7485,3418,1116,226,54,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,4,363,1909,9196,30034,70966,130548,215188,334368,491870,670444,870285,1075064,1258751,1414562,1537684,1630421,1676812,1672093,1630753,1555895,1445064,1292052,1111765,926653,763630,624460,508234,407203,323725,252660,195131,150297,111612,77012,56984,53232,60683,63478,55178,37818,21041,10637,4682,1659,351,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,59,802,2404,9943,30286,71649,138275,239093,377744,550894,750375,957688,1144092,1315476,1455794,1565738,1638302,1682971,1688150,1639611,1547519,1413951,1245486,1070444,916384,772899,636670,518494,421820,341589,269455,206253,150307,104811,70960,54530,51260,56630,55423,41638,28444,16613,9904,5612,2347,960,164,13,14,15,9,11,11,9,5,0,0,0,0,0,0,0
6,0,0,101,806,5029,18015,45853,94917,169745,265927,389479,525298,659764,783038,895003,982133,1050844,1095652,1131476,1148305,1150409,1120071,1053103,945816,822167,674377,535631,421186,334873,274141,228546,194598,163538,132824,106194,79221,58880,56118,64042,67801,56962,35347,19432,10710,6030,2723,1194,524,153,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,64,3240,5184,3203,12402,32930,71970,129641,206451,306243,413343,528163,636154,728726,811114,894077,964989,1016937,1049425,1065292,1049732,1005698,952709,878319,773639,652163,531965,430773,344039,276860,218685,174234,141511,114566,93366,76519,73875,73487,62940,40857,22484,11384,5056,2038,733,260,45,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,66,986,4743,16778,46160,97998,176856,283571,421630,577967,740067,887995,1018289,1138439,1240941,1331065,1407805,1463636,1497641,1501236,1471106,1398398,1285623,1118080,935072,756511,593849,462716,353704,263043,196832,145449,103455,69748,45373,29875,24232,22668,15952,7041,3416,1777,934,498,193,70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,6,74,713,3989,18493,48804,101422,189008,318147,473829,649168,814937,965870,1097875,1213911,1318220,1415827,1499301,1568117,1612229,1624955,1596990,1527013,1404802,1227019,1012392,800328,619510,471384,351473,260374,194811,150294,117207,83350,51020,25145,10751,5047,2584,1410,840,476,328,267,214,67,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,68,724,4520,16602,40611,86347,158181,252086,366392,492511,614301,726788,818136,890027,949115,1001890,1055093,1103481,1143792,1169839,1169993,1135414,1056265,905537,710504,546473,427133,337782,269711,213973,173428,138316,104903,71873,39948,16209,5634,2038,920,414,240,156,73,18,18,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,6,135,735,3915,16626,43055,85920,147440,231209,331354,435784,544457,650095,744759,835884,918004,994114,1049027,1083037,1096576,1081992,1045571,990578,904877,797945,660280,526638,413219,323222,251696,195760,146709,106467,73433,45462,24848,12873,6532,3161,1772,974,522,327,266,241,183,147,109,47,14,3,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,54,638,4493,21591,56790,117445,197712,312213,453720,610771,769723,910966,1044985,1155883,1262736,1366574,1460429,1536474,1587077,1611962,1588709,1506529,1354723,1125909,889710,692566,539262,415840,320433,246088,191737,150655,113165,77185,47003,26415,11926,5029,2109,943,463,296,234,158,95,48,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,33,105,520,4118,15163,40249,88392,157764,255931,387350,541575,710356,879190,1037679,1182846,1318991,1439777,1556869,1644318,1688364,1674411,1615448,1504045,1348007,1170471,981158,798340,626957,489781,378120,290038,214629,154180,107750,68473,38239,19102,9349,4737,2386,1113,507,344,190,96,16,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,96,160,479,3244,14361,37710,78227,142600,235724,354783,487186,609852,714583,799410,880919,954691,1028670,1104645,1177077,1218976,1213835,1157162,1036153,872288,707196,557186,432867,328359,250384,193154,151304,116532,88229,59980,35676,19083,8867,3680,1802,1064,616,373,295,200,180,96,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,20,469,3899,7992,3463,3534,8367,22290,61014,139758,239548,336382,436989,530950,628744,725032,803741,854057,868534,840478,757684,643597,494081,329808,214078,145423,109294,80460,60014,41744,27991,18002,10783,5923,2055,527,147,63,28,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,4,571,2462,3465,12663,30703,62185,111078,173740,253683,343037,435995,526005,607658,681826,745593,798745,843385,865701,866802,842188,779260,697584,583145,464280,363249,286047,227022,180116,141074,109331,84736,64505,46476,30987,18880,9418,4498,2241,1137,554,230,121,91,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
