,0,1,2,3,4,5,6,7,8,9,10
0,76380,18524,15247,6031,12631,8866,5094,10837,15760,82534,1
1,103210,25678,14021,6263,13998,11378,5014,11327,21294,107305,1
2,104507,23665,18408,7748,17173,11728,6133,14526,21602,117038,1
3,133199,31544,24006,10351,24383,15509,7662,20710,29871,152813,1
4,128485,28129,21279,9812,19859,13703,7269,15832,27164,140116,1
5,140264,35571,25599,10949,24117,17504,8743,19277,30786,147990,1
6,124480,27959,23508,9729,19567,14118,7865,18409,27432,140117,1
7,152167,35145,26759,10968,25061,17161,8914,21369,33227,173037,1
8,128760,34962,30107,9255,22892,18742,9717,25448,29575,134446,1
9,184165,42920,51286,19801,65741,31912,10661,65655,40610,229137,1
10,165020,41697,30019,15421,29726,18150,9578,24402,38521,183498,1
11,155211,41982,24063,10437,24654,18088,9034,19432,34236,162063,1
12,158082,39899,24215,11854,25997,17382,8372,18836,33956,163679,1
13,136801,33045,35828,13965,44662,23745,7831,49685,29591,156303,1
14,157701,36844,30569,14720,28907,16488,9981,23127,33341,179778,1
15,156741,35034,27100,11748,24715,17663,9228,20355,33699,181349,1
16,218946,55314,38230,16821,37093,24455,12053,30192,47573,235099,1
17,274218,70715,52543,22226,51865,37510,17419,44198,61661,287709,1
18,154230,43181,28741,11600,28687,20192,9580,22832,35963,162626,1
19,268579,67958,57022,22156,52008,38039,18589,43993,59969,290215,1
20,277216,75402,50635,21709,48145,35999,17122,38084,63802,290414,1
21,178415,41119,26703,13722,29083,19683,9455,23394,39146,195280,1
22,233095,52489,37890,17646,39877,26035,12122,30181,46738,248887,1
23,223449,55680,39955,16677,36559,25883,13293,30384,48404,237780,1
24,241990,62193,42601,19646,46437,27693,12660,34484,55764,264468,1
25,215178,52489,38851,17645,39393,25235,12516,30024,47370,234003,1
26,174231,43964,31127,13697,30021,19911,10291,23108,37774,190340,1
27,224644,47742,48788,23912,45039,25325,14910,38599,48292,259965,1
28,105244,24743,18155,8048,17305,11147,5978,14558,21211,117675,1
29,150863,41256,27650,11170,25728,19434,9657,21963,35455,157560,1
30,157842,33891,29206,15666,29097,16372,9572,23211,34471,180592,1
31,106313,31819,27481,10361,25118,16887,8160,22353,27756,115432,1
32,103638,23009,17737,7473,15860,11114,6004,14361,21279,114373,1
33,211647,46192,38942,18133,37687,23444,12340,29921,44338,230092,1
34,161089,41726,20168,10326,24109,17119,7135,17509,34753,166802,1
35,170753,46809,32605,14250,35903,17022,8470,27806,41679,206815,1
36,117461,26342,19561,8379,18619,12859,6474,15706,24221,131306,1
37,233872,52692,48381,23414,48443,27224,14732,38584,50660,268398,1
38,151649,43632,25534,10778,24958,19098,9157,21174,35983,157237,1
39,187274,49542,30325,11613,36738,25657,8371,31858,45484,216722,1
40,184671,41510,39865,15953,35719,22958,12254,30818,39076,203864,1
41,192614,46090,29687,13075,30172,21099,10692,23632,41269,219894,1
42,203145,54642,38365,16617,37798,25243,12918,31352,47832,221752,1
43,155972,35400,30180,11981,26307,17490,9834,24615,33695,176766,1
44,114300,26256,19243,8111,19566,12867,6464,16167,24421,131997,1
45,167556,44995,29441,12812,29858,22112,9900,24853,39158,170739,1
46,240833,57260,41257,18052,51821,32829,11087,42125,58366,266594,1
47,215190,62725,31730,12788,33882,20959,9684,25078,55499,249777,1
48,123474,32976,23718,10482,23309,15264,7620,17473,28551,131853,1
49,142045,33365,25082,11257,23757,15322,8283,18618,30196,152875,1
50,218578,58915,52130,16360,40782,30678,16867,46252,50976,236462,1
51,276890,68780,53742,27067,53755,33198,17486,46345,69354,322599,1
52,156469,38117,31798,14191,32673,18912,9201,27457,34850,177004,1
53,82977,18815,13453,6089,14354,9149,4345,11137,17184,95905,1
54,280465,78737,50113,20768,49259,36894,17066,39423,64531,284344,1
55,100860,23619,15040,6714,14683,10638,5432,11335,20432,110735,1
56,138562,32310,24063,10970,23949,15138,8155,19345,29399,158909,1
57,186512,40620,38778,18775,36071,19919,12143,29438,40257,217999,1
58,124872,28293,21105,9723,20312,13933,7621,17751,27388,142186,1
59,208344,48518,37306,16735,34298,23413,12415,28629,43907,225347,1
60,265361,61989,63095,26339,51155,30429,17775,48591,55602,299728,1
61,340417,107662,155283,39563,119848,94440,37890,131007,99700,370254,1
62,234661,69836,51406,17679,45722,35867,17069,43085,58113,246786,1
63,146655,35271,24849,10406,23932,15771,7871,19959,30118,167472,1
64,160747,42382,34143,14266,28655,18856,10700,25856,36666,179153,1
65,235089,52830,42062,23164,43417,23498,14000,34216,52184,270580,1
66,308652,78961,42037,21250,49559,33598,14768,35642,68219,331890,1
67,219190,62801,34961,13777,38037,24734,10466,26740,59406,250240,1
68,101545,22129,15778,7382,13954,10031,5687,12457,20063,110462,1
69,190997,51892,30361,11356,35722,27182,9793,30266,42189,207682,1
70,194796,49924,30236,13024,29384,21634,10791,24443,41385,203391,1
71,207866,44666,53307,23631,43906,23633,15212,40065,43989,247149,1
72,234599,52957,45382,22772,45683,25750,14332,36281,52005,272031,1
73,225011,62049,40932,17888,40436,30284,14275,32053,53698,239086,1
74,164197,44260,32480,12981,28782,19669,10719,25186,37258,175892,1
75,101308,25710,14544,6979,15854,11072,4750,12081,21387,105803,1
76,184124,49424,41046,18215,58652,27379,9848,44399,45599,232482,1
77,103596,28837,14181,6908,17382,10022,4916,12779,25799,118108,1
78,201830,56137,41015,17085,36116,25793,13952,32211,49197,220936,1
79,199494,50892,36520,14714,34525,25576,12989,30930,44818,214630,1
80,103357,24263,18618,8286,18570,11497,6153,15675,22699,118018,1
81,131078,32707,20591,9707,21897,14860,6278,17407,28987,140424,1
82,155827,33646,32388,15478,30414,17294,9955,24479,32881,177558,1
83,138187,29507,23613,9695,22362,15252,7871,19347,26672,151398,1
84,152195,36780,24673,10921,24717,16570,8434,20009,33221,177824,1
85,226295,62752,45693,22342,52487,21821,12685,38234,53701,334902,1
86,157021,37293,27546,11952,26382,17809,9139,24068,35872,182838,1
87,92204,25496,18218,7330,15525,11598,6061,14296,21198,98346,1
88,203447,52760,39755,16455,52793,27568,9561,43010,48972,236815,1
89,327875,101073,73563,28277,69027,50817,23166,58654,84359,339797,1
90,209661,52263,35827,16469,37713,26195,12650,28117,46573,224196,1
91,160517,37820,28035,12036,27935,17851,8995,22986,35287,186138,1
92,195715,48157,32158,14062,32193,23001,10499,25496,41662,203745,1
93,167099,46245,28972,12473,28647,21261,10046,23399,38960,174322,1
94,146219,38116,32548,12676,25735,17003,10388,22914,32174,162963,1
95,214909,58136,29333,14353,33360,23315,10142,25157,48012,231411,1
96,247810,56891,52117,25762,49096,25917,16348,40181,53281,285077,1
97,138445,34661,26518,10869,24977,17251,8239,20706,29527,148071,1
98,117645,31249,17008,7864,17827,13178,6087,14079,25775,122536,1
99,170965,39845,31609,13832,31716,19379,9972,25402,36418,198398,1
100,295066,78422,61023,25953,49622,33497,20698,44881,69764,325618,1
101,123979,32342,29971,11433,23460,15762,9882,23040,29262,141701,1
102,140868,32450,22608,9618,22420,15482,7675,17869,28943,164403,1
103,167663,37802,39485,17731,29875,17122,11648,29084,34381,189673,1
104,136437,31797,24458,9803,20993,14344,8290,18248,28180,152890,1
105,236328,57344,42374,17485,39167,25998,12344,31227,47979,253146,1
106,274025,69635,53003,22738,53380,36252,16935,42599,61439,291594,1
107,164029,45081,31040,12898,30077,20985,10187,25581,37732,173814,1
108,201074,52153,27586,13439,32937,22632,9501,24595,43561,211498,1
109,142736,31882,24113,9864,22189,16200,8212,18327,29661,156080,1
110,144696,33764,24874,11291,24271,15949,8106,21066,31844,163371,1
111,183346,46566,26235,12063,27510,20180,9948,20982,38985,190185,1
112,125736,28820,22473,9918,20933,14097,7502,18231,27460,142622,1
113,238883,53151,45398,23135,46122,25760,14404,35677,52306,273100,1
114,175800,48516,37999,13449,33194,25530,12964,32910,42460,190042,1
115,267089,71961,56221,23094,52408,36278,17635,45241,64170,287503,1
116,115176,26313,18970,8592,18858,12675,6343,14839,24996,128022,1
117,221675,52250,35986,16274,36352,26670,12446,28271,46218,233490,1
118,135699,29596,23847,10193,22201,14547,8015,19000,27197,152073,1
119,262132,60525,51706,22138,48792,33766,16214,42435,56687,284197,1
120,229095,62553,39979,16944,37017,27279,13923,30060,50524,242194,1
121,141121,36304,24372,10068,22785,17070,8676,19311,31412,149681,1
122,164744,38975,29175,12313,26834,18398,9285,20797,33039,177896,1
123,146579,32836,30286,13035,30180,19162,8777,24505,32154,164758,1
124,196048,63720,45459,15215,39100,31137,15701,35215,48381,199688,1
125,252632,63210,44165,22099,46674,29555,15671,36764,57704,282470,1
126,176613,39826,42221,17706,38349,22478,12280,36077,39570,206176,1
127,270061,65048,52788,24087,51075,32815,17208,41379,59888,294963,1
128,149616,34509,25741,10813,26316,16833,8334,22523,32387,172128,1
129,127059,29404,20637,9731,20277,14216,7119,16759,28334,139648,1
130,128195,28758,22593,9674,20325,14245,7475,18130,27111,139750,1
131,127849,29597,21371,8826,20735,14544,6910,17297,27418,141709,1
132,126663,28416,20374,9401,20425,14480,7229,16316,27576,139232,1
133,252210,57415,56116,26351,50821,27569,17317,43444,54506,291307,1
134,138142,35804,26187,10734,22389,15902,8764,20400,31134,149808,1
135,83065,19442,13688,6038,13763,9144,4680,11414,18322,93852,1
136,190744,51342,39098,15380,34684,23908,12702,31548,43350,206972,1
137,227263,65074,43744,17906,40594,28919,13947,33823,53992,242738,1
138,189105,42823,35970,17944,34529,20540,11650,28205,41400,213738,1
139,232807,64995,43433,21168,46913,21449,12784,32253,55020,295546,1
140,193038,51632,33250,13832,30898,21167,11865,25598,41936,203472,1
141,144130,33992,23559,10946,24140,16339,7797,18848,29766,152819,1
142,276329,75796,55474,24235,79260,39906,14182,60859,71161,336526,1
143,174444,40992,27513,12417,28290,18897,9304,22940,37973,201694,1
144,137507,37550,25578,11319,24357,17104,8558,19756,32291,146780,1
145,191044,43910,50806,20324,40810,23841,14232,39193,41766,223738,1
146,209331,52320,38078,16275,35399,24046,12626,29846,45692,229123,1
147,175389,41455,29397,13868,30687,19258,9224,24234,37258,196766,1
148,190673,44189,32551,14774,33192,21444,10561,27399,41672,214841,1
149,290293,77858,36733,18187,45173,33110,13659,32797,66728,305526,1
150,224476,65479,43754,17716,42011,31750,15049,36030,54003,236196,1
151,167983,41832,24546,11320,28272,18632,8150,20911,35632,175714,1
152,166311,39010,26712,12077,28888,18681,9009,23395,36351,189454,1
153,167528,43674,29283,13563,29537,20092,9750,22492,37363,178142,1
154,134731,29742,22347,9374,20200,13868,7559,17220,26863,149712,1
155,399355,94965,184556,49566,194737,114141,31615,209556,96604,469641,1
156,235193,62471,38062,16336,38469,27291,13056,29341,51249,245780,1
157,492998,132892,71691,29336,91538,64812,23075,68073,110771,544510,1
158,246292,53805,56738,26085,54137,29798,16607,45721,53180,287013,1
159,203250,56804,40194,16553,38501,27050,13708,32975,48401,216836,1
160,229392,53007,42442,17241,36028,24867,13913,32382,48682,257758,1
161,280886,79250,55683,24541,59608,37719,18221,47557,73568,325975,1
162,242261,61633,53705,17486,42073,31784,17090,47211,55327,262406,1
163,188145,41121,37588,18808,35756,20168,12064,28841,40455,216030,1
164,232060,56578,41848,16728,41094,26264,12944,38799,52310,306207,1
165,106622,23600,17606,7987,16446,10965,6065,13854,21877,117506,1
166,192366,43635,32301,13924,30961,22164,10919,26775,42026,214689,1
167,161599,35593,37343,16994,33819,18712,11036,29582,33962,186608,1
168,192800,50905,38335,15659,33654,24348,12139,30708,44646,209606,1
169,86388,25960,18015,7847,17728,10736,5651,14755,23006,97114,1
170,165139,37670,28682,12476,29002,18536,9350,24408,35668,188957,1
171,194231,52351,33933,14424,32937,22681,10706,24891,42650,199420,1
172,285791,73907,47952,22856,44680,28855,15438,35533,62388,304200,1
173,190670,42957,35090,18191,34828,20178,11414,27358,41343,216947,1
174,186778,46074,34990,13521,29007,20864,11912,27710,39477,204067,1
175,248733,58260,49974,20905,44600,30296,15929,38696,53162,265813,1
176,114602,25706,19918,8165,19090,13018,6575,16984,24229,128033,1
177,128865,36408,22941,9927,23194,17052,7761,18950,30505,134477,1
178,123804,28915,20806,8727,19839,13534,7106,17955,27403,145095,1
179,120899,27629,20688,8952,19402,13637,7359,16852,26033,139445,1
180,144261,42763,37205,13968,35243,22659,10638,34813,37008,162114,1
181,212726,50924,34933,15256,35294,24861,11930,28140,46807,231865,1
182,153497,35690,23748,10364,22945,16583,8450,19721,32824,178450,1
183,182871,47367,30041,13530,30179,22345,10078,23275,41135,193611,1
184,131302,29762,22176,9784,18994,13333,7794,17813,27224,145754,1
185,241960,55977,52138,22190,49195,29531,15595,40849,52852,269153,1
186,198451,56016,42976,15560,36377,28619,14842,36606,47241,212976,1
187,191785,44107,34493,14542,32899,20990,11309,28877,41264,221782,1
188,168154,39914,30122,14013,30015,18380,9034,22330,35624,183838,1
189,184049,55466,35559,14813,40409,23208,10456,34117,51144,241979,1
190,183218,42601,53036,18437,68417,39291,11385,67064,42672,218839,1
191,109336,28797,16845,7201,16394,12244,6160,13237,23687,113235,1
192,152879,40576,31119,11684,23989,17616,10919,22616,34403,167223,1
193,234116,55583,38061,16638,37670,29141,13136,31666,49783,246846,1
194,136046,40145,25645,10772,25212,18353,8680,21106,33064,141777,1
195,217794,49015,40832,21583,41259,23072,13405,32867,48686,251839,1
196,132377,30135,22217,10336,21469,14776,7479,17686,26905,142092,1
197,142043,32921,22486,10223,22517,15610,7929,17400,30046,158089,1
198,266631,69833,57353,21736,51970,38033,18504,46599,60739,287130,1
199,171276,47759,29863,12725,29198,22672,10758,24086,40544,179439,1
200,108602,25739,16267,7425,17206,13389,5678,13270,22230,114258,1
201,161972,48028,30335,13353,33377,19604,9043,26530,44393,195509,1
202,458701,107402,82528,36961,86938,52656,24837,70225,97089,492551,1
203,248257,57096,53183,26202,45330,27156,16449,42183,54648,278904,1
204,244926,77817,70197,22666,60079,48708,22305,55478,65505,252383,1
205,255506,62954,44979,21263,47612,32237,15402,36245,56975,274699,1
206,240311,58829,36853,17174,37003,25592,11822,29086,49199,254451,1
207,201323,56881,34764,14070,43189,27702,9832,37121,52948,234874,1
208,152528,34658,27140,11821,26242,17061,8665,22517,32672,173576,1
209,199166,52522,29259,13046,30548,23684,10890,23576,43697,206444,1
210,472225,137378,175036,51880,139207,94000,44850,152815,123341,541556,1
211,194114,51528,29002,13036,30302,22014,10478,23409,44657,209684,1
212,249404,55995,64434,26214,44516,25821,18623,47486,50671,284676,1
213,198919,55491,43787,15434,37638,28271,15021,36701,46310,212092,1
214,194672,55487,33378,18045,41916,18914,10038,26790,49285,245747,1
215,273003,62234,55149,24881,48988,30342,18178,41283,57660,308346,1
216,150647,36559,35541,16242,28197,15512,10764,26883,33223,177888,1
217,214054,58046,35365,14900,35641,25882,12121,27124,46527,220004,1
218,213666,55403,37880,15204,48770,31156,10982,41931,50922,249798,1
219,188521,46316,35017,15501,36079,23278,10108,28007,41674,202187,1
220,316312,97749,51920,25019,62615,32789,16120,44658,82923,375815,1
221,147027,34659,25405,11325,27251,17367,8290,22458,32940,172478,1
222,178494,55638,37987,13465,32725,24166,12470,28668,44148,185103,1
223,134496,39013,26687,10901,24575,17107,9241,20452,32980,145348,1
224,160431,39057,27222,12146,28305,18531,8780,23184,36603,181805,1
225,147220,34567,20433,9897,21924,16082,7275,16549,31358,153959,1
226,244319,70137,46063,19475,44080,29557,15072,36805,60338,262058,1
227,134016,38292,28293,10051,24678,19582,9972,23253,31960,140703,1
228,192500,53910,31129,11571,35907,27138,9817,31101,41674,205765,1
229,115534,32816,30338,11334,25857,15289,8295,24288,28473,134784,1
230,218114,52324,32978,15403,33945,23511,10404,26370,44036,231043,1
231,97811,26866,16319,7262,16067,11330,5915,13059,21402,104993,1
232,233753,52931,50959,23889,45659,25956,15840,38847,49251,269315,1
233,201313,58307,39721,14860,34673,27145,13824,30100,48498,208935,1
234,569704,141892,120547,50606,129200,78147,35275,105676,132649,631568,1
235,203935,55107,37647,16615,39008,25111,12601,30875,47427,222874,1
236,138257,36231,25042,10630,22559,15547,8859,20126,31811,151738,1
237,207104,55238,35908,16925,38178,22780,11227,27875,48331,229170,1
238,183021,50009,32303,11093,38966,29385,9918,36151,43443,203151,1
239,165298,40649,25795,11290,25140,18850,9431,21265,35235,173895,1
240,165046,36901,25583,11418,25020,17413,9018,20125,34154,188314,1
241,496940,165488,195685,52749,159118,128188,51646,163959,140153,521210,1
242,128226,34669,19681,8479,19583,15298,7188,15666,28974,132348,1
243,214856,55799,40655,19599,41751,24615,12721,34700,52822,252050,1
244,212638,47076,37654,16362,38092,25247,11525,30347,43092,229167,1
245,131129,29282,23699,9509,20886,14127,7545,17321,26266,147244,1
246,125056,28635,20853,8846,19420,13204,7010,16874,27015,144735,1
247,113271,28975,18223,7828,19414,14183,6711,17048,25841,126362,1
248,266587,69146,54202,24089,52688,31792,16423,42073,60786,289990,1
249,405155,98189,75129,34803,82020,51787,23188,69151,93773,450741,1
250,242825,58771,52381,20010,43893,32780,17824,39163,53953,267840,1
