,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,24017,9620,393,4190,416,9611,424,4131,389,1636,1717,1318,1275,1560,1636,1536,1422,2487,766,2397,1849,2397,780,2393,2276,4121,773,735,3486,3433,804,752,3873,5776,1854,1450,1706,4691,1669,1452,1803,2179,2172,2263,2301,1973,1968,2271,2294,1408,2087,1383,11006,1333,2000,1257,10814,31109,53072,1
1,27872,16167,543,3140,535,16312,533,3135,544,2336,2442,1501,1534,2358,2349,1486,1599,3167,906,3291,2692,3148,834,3224,3262,6892,975,984,5859,6052,880,907,7242,7235,2697,1555,2670,5938,2501,1366,2701,2037,2127,3027,2961,1826,1825,2860,2933,1208,1741,1215,17534,1177,1793,1125,17251,34808,60676,1
2,31573,14863,519,4885,540,14703,522,4824,581,2179,2255,1749,1642,2225,2354,1715,1712,3239,1133,3115,2514,3358,1013,3241,2588,4903,1136,1086,4998,5092,1062,955,5023,6803,2270,2234,2095,6718,2239,2074,2203,2522,2467,3186,3079,2539,2529,3058,3150,1706,2784,1750,16208,1730,2647,1714,16167,43567,71792,1
3,37825,19599,720,5525,739,20055,760,5658,748,3003,3046,2136,2209,3121,3003,2410,2248,4335,1595,4254,3493,4372,1634,4438,3759,7128,1716,1640,7122,6987,1662,1652,7145,9014,3234,3507,3035,8704,3064,3671,3304,3345,3269,4526,4444,3209,3104,4557,4634,2545,4102,2625,19537,2530,3837,2603,19268,59665,88978,1
4,38312,18693,733,5474,726,18954,709,5325,728,2781,2681,1996,2078,2808,2775,2067,2052,3780,972,3838,3055,3834,970,3836,2915,6220,1034,1018,6464,6193,1154,1079,6316,7387,2997,1887,3106,7476,2983,1866,3032,2935,2924,3971,3844,2895,3048,4083,3905,1944,2903,2005,20205,2006,2956,2015,20142,51019,86544,1
5,41353,19660,975,5646,915,19462,937,5626,931,3325,3320,2435,2381,3319,3194,2571,2510,4840,1341,4503,3576,4622,1493,4659,4667,8961,1651,1567,6961,6943,1681,1739,8703,10306,4271,2379,3670,7971,3790,2754,4095,4030,3979,4675,4627,3316,3328,4673,4560,2655,3738,2575,19794,2323,3348,2299,19451,54391,91335,1
6,38295,17070,696,6268,661,17051,705,6315,711,2712,2680,2120,2177,2607,2490,2105,2192,3700,1171,3756,3384,3576,1188,3506,3415,6201,1214,1200,6484,6298,1115,1240,6458,7819,3019,2210,3011,7835,2863,2059,2995,3176,3171,3978,4015,3165,3058,4048,3919,2102,3887,2133,18604,2106,3863,2034,18485,52693,86175,1
7,44023,22448,812,6656,783,22222,781,6600,815,3264,3378,2313,2438,3155,3176,2473,2397,4795,1504,4609,3982,4627,1637,4718,4056,8269,1625,1623,8122,8030,1701,1712,8332,9872,3648,3174,3630,9656,3663,3242,3733,3609,3625,4933,5044,3443,3443,4970,4914,2537,4085,2567,24087,2350,4004,2440,23459,64783,101821,1
8,37666,16043,827,7124,777,15960,846,7983,760,3277,3496,2607,2606,3504,3309,3189,3038,5097,2039,4479,3914,4662,1919,4969,5649,9455,2205,2007,6913,6820,2013,2205,9118,10082,4874,3098,4157,6842,4014,3191,4705,4614,4626,4739,4792,3289,3326,4770,4583,2199,6135,2130,16808,1827,5040,1723,16206,49130,80528,1
9,55579,25302,1328,9594,1336,26049,1355,9528,1292,5118,5219,3832,4056,5437,5547,4006,3969,9474,6448,9703,3737,9755,6708,10140,3768,6747,7278,6828,6953,6649,7910,7546,6909,10483,3756,18642,3729,10610,3847,19588,3741,4898,4937,7024,7131,5039,4806,7277,7254,5824,10074,5340,20443,5678,9764,5576,20783,108714,141830,1
