,0,1,2,3,4,5,6,7,8,9,10
0,48247,9615,9916,10582,11391,16492,12771,12856,20449,99585,1
1,64569,10491,12493,14095,17972,25013,16731,13803,27491,116830,1
2,67083,12110,12887,14374,14711,21205,17563,16322,28656,137617,1
3,84463,15351,17326,19786,21365,29694,25285,21897,38000,176881,1
4,82892,14220,15560,16505,17651,25126,20350,19617,35045,164682,1
5,88011,16574,18815,20194,23807,33643,24659,23955,37995,173147,1
6,80041,15243,15271,16581,18514,25949,20973,20563,34693,165356,1
7,96944,17151,18434,21077,23695,33295,27098,24097,43160,198857,1
8,78397,18969,20743,21982,26229,35112,26007,25386,36625,154454,1
9,119188,26344,32489,46491,31574,43253,60157,33835,56212,292345,1
10,102148,18834,21577,24913,27476,39704,30761,28330,43565,218724,1
11,94739,16911,21666,23667,29251,40634,27567,24327,42912,177526,1
12,98210,16947,20851,22154,27331,37876,26547,24052,42311,185993,1
13,87133,19560,24196,33633,25526,33645,43802,24663,41305,197993,1
14,100379,18637,20638,22049,21381,32136,26580,27092,41983,220581,1
15,100614,18088,19100,20625,22772,32046,26606,24850,43213,209718,1
16,134577,24612,28364,31980,37714,53172,40047,35365,60278,269667,1
17,170528,33773,40863,44221,49248,67927,52395,48691,74612,337806,1
18,92173,17516,22877,25982,31318,43579,32523,27246,42301,182117,1
19,168556,36191,41095,44104,45062,63266,50999,50020,75155,344080,1
20,168177,32905,39871,42663,51891,72518,51747,49849,75349,333558,1
21,113034,18873,22850,25369,28106,37877,28753,27295,47172,226671,1
22,150018,25243,29190,32326,34117,48007,37986,34166,64184,289723,1
23,140644,25756,29518,32350,37938,53115,39385,36548,60686,272124,1
24,149717,27007,31884,37660,42967,62145,48202,39478,67715,301161,1
25,136969,24928,28823,31972,33797,48912,38099,35507,59631,274066,1
26,108282,19725,22487,24619,28129,41449,30920,28912,47618,222323,1
27,146744,28463,29307,31386,27563,40551,37415,39878,60732,335177,1
28,67142,11999,12851,14310,14846,22335,17784,15593,28841,138363,1
29,90542,18077,22027,24343,30449,41405,30018,27036,40831,176008,1
30,103239,18114,19672,21137,19433,28405,24260,26936,42235,226489,1
31,63393,15441,18092,20510,23172,33268,26778,24376,30081,136569,1
32,66144,11746,12124,13655,15442,21581,16921,15313,28306,133616,1
33,137927,24516,27125,29553,29094,41405,33963,33457,57166,278530,1
34,98425,15608,21048,24031,29608,40809,26743,22217,42951,179296,1
35,100446,17709,20480,28813,31267,47170,41079,29439,52140,233569,1
36,74998,12887,14110,15837,17538,24358,19411,17484,32284,152021,1
37,151049,28178,31082,34984,30678,45601,41803,41573,65177,336275,1
38,89649,17499,22133,24347,32003,43871,29967,25996,41274,172461,1
39,112248,22123,29494,38125,39125,52409,44102,30579,55658,219721,1
40,119926,23707,24223,27577,26268,37609,33864,32410,51344,249760,1
41,122333,21173,23341,26389,29679,42606,34018,28308,55142,245235,1
42,122690,24217,29598,33653,37998,53626,39846,37563,56667,253806,1
43,99734,18880,18915,21323,23897,33508,27017,25591,43765,209610,1
44,72763,12550,13810,16116,17875,24657,20196,17498,32340,151587,1
45,102413,19831,24843,27015,32829,44260,32248,29631,44788,193566,1
46,146512,25786,33401,43082,45499,60504,56740,42528,71868,294304,1
47,123894,19199,24013,32696,48445,68742,47461,35771,65966,251125,1
48,76397,14602,16912,18469,22181,32578,23850,21766,33429,154536,1
49,90795,15921,17931,19936,21087,30745,23643,22335,37840,180567,1
50,132796,32935,35544,38898,44674,59127,45256,43507,63023,272240,1
51,172444,34030,37665,42953,46616,65349,54055,51964,75831,388309,1
52,99500,19153,21283,24736,23920,34780,31215,27281,44569,214235,1
53,53229,8777,10037,11574,12651,17514,14679,11930,22648,110369,1
54,169669,33104,40222,44183,55480,78103,54359,49266,76371,320843,1
55,64485,10584,11987,13201,14999,21447,15887,14166,27552,125180,1
56,88560,15894,17227,20184,19910,29317,24583,21649,37901,185575,1
57,121050,22591,23564,25385,22992,35102,31144,33039,50732,274913,1
58,80176,14406,15756,16667,18653,26109,21394,20075,34323,165625,1
59,132603,23934,26645,28798,31525,44231,33747,33068,55587,268774,1
60,169808,35345,35409,38602,36781,54989,47818,47218,73644,380450,1
61,197938,67504,78160,95935,100378,140320,140827,111162,106720,457120,1
62,137836,32324,39493,45068,53476,72581,53134,47731,66880,271701,1
63,91280,16461,17725,20910,22168,32706,26891,21441,42909,189813,1
64,98617,20285,21155,23818,27282,40036,31083,30000,43851,215297,1
65,151397,26587,29572,32464,30883,45467,37858,40016,63027,333769,1
66,190084,30769,40328,46168,55140,76555,53140,45225,83832,363335,1
67,129761,21194,26462,34807,51060,70425,50648,39336,66417,250242,1
68,65380,10880,11605,12328,14397,20363,14965,14335,26455,128780,1
69,115546,22218,31140,36990,38701,51672,40763,30471,56160,213779,1
70,119926,20945,26004,28897,34507,47977,33946,29389,53421,223996,1
71,136796,28545,27305,29179,23879,36941,35458,39566,57864,327891,1
72,150834,27155,30243,34045,31338,46306,40761,41096,64425,335589,1
73,134826,27161,33352,35979,43667,60434,43580,42730,61527,272456,1
74,100308,20064,22868,25543,29690,42172,31283,29456,45148,204892,1
