,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
0,24017,29174,0,12100,0,4337,0,15345,0,1738,0,1794,0,1851,0,17977,0,6735,0,3334,0,921,0,2835,0,3368,0,2287,0,2831,0,20401,0,0,0,0,0,179,0,2175,0,0,0,280,0,191,0,2000,0,0,0,1049,0,270,0,2369,0,0,0,2289,0,1996,0,17421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,327,0,0,0,241,0,0,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,3266,0,0,0,0,0,0,0,31288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31109,1
1,27872,40909,0,15605,0,4233,0,20524,0,2508,0,2450,0,2399,0,29791,0,9266,0,3467,0,792,0,2975,0,3511,0,2238,0,2971,0,26663,0,0,0,0,0,220,0,2363,0,0,0,233,0,228,0,2226,0,0,0,871,0,210,0,2434,0,0,0,2385,0,2376,0,19596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,215,0,0,0,217,0,0,0,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851,0,0,0,0,0,0,0,5072,0,0,0,0,0,0,0,43044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34808,1
2,31573,41437,0,15831,0,5267,0,20201,0,2378,0,2453,0,2558,0,24255,0,10451,0,4327,0,1141,0,3673,0,4293,0,2962,0,3674,0,26636,0,0,0,0,0,282,0,3131,0,0,0,323,0,285,0,2690,0,0,0,1224,0,333,0,3127,0,0,0,3074,0,2588,0,22530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,386,0,0,0,301,0,0,0,2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,0,0,0,0,0,0,0,4891,0,0,0,0,0,0,0,44706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43567,1
3,37825,53804,0,21176,0,6503,0,27880,0,2977,0,3268,0,3269,0,35052,0,12435,0,5226,0,1426,0,4724,0,5184,0,3599,0,4698,0,37533,0,0,0,0,0,301,0,3933,0,0,0,429,0,312,0,3353,0,0,0,1392,0,398,0,4008,0,0,0,3953,0,3361,0,31088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,567,0,0,0,403,0,0,0,3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,57047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59665,1
4,38312,51342,0,19238,0,6794,0,23200,0,3097,0,3410,0,3343,0,29478,0,12431,0,4954,0,1430,0,4384,0,4993,0,3393,0,4467,0,30734,0,0,0,0,0,378,0,3404,0,0,0,431,0,357,0,3355,0,0,0,1520,0,437,0,3604,0,0,0,3544,0,3300,0,27605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,471,0,0,0,476,0,0,0,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,5008,0,0,0,0,0,0,0,54176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51019,1
5,41353,54152,0,23055,0,7497,0,29701,0,3398,0,3636,0,3694,0,38206,0,10577,0,5207,0,1498,0,4948,0,5216,0,3660,0,5001,0,39236,0,0,0,0,0,335,0,3880,0,0,0,486,0,378,0,3777,0,0,0,1606,0,500,0,4042,0,0,0,4000,0,3729,0,33188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,543,0,0,0,428,0,0,0,3802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282,0,0,0,0,0,0,0,5182,0,0,0,0,0,0,0,56183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54391,1
6,38295,49477,0,19083,0,6026,0,23696,0,2767,0,3028,0,2978,0,30210,0,12143,0,5104,0,1324,0,4309,0,5295,0,3709,0,4213,0,31811,0,0,0,0,0,332,0,4046,0,0,0,446,0,309,0,3240,0,0,0,1583,0,398,0,3886,0,0,0,3972,0,3288,0,28530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,485,0,0,0,340,0,0,0,3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3989,0,0,0,0,0,0,0,5550,0,0,0,0,0,0,0,53214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52693,1
7,44023,61117,0,22594,0,7102,0,29928,0,3476,0,3618,0,3627,0,39414,0,15298,0,5950,0,1485,0,5031,0,5892,0,4223,0,5095,0,40618,0,0,0,0,0,333,0,4525,0,0,0,429,0,409,0,3880,0,0,0,1701,0,483,0,4441,0,0,0,4634,0,3861,0,33981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,519,0,0,0,424,0,0,0,3772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4660,0,0,0,0,0,0,0,6914,0,0,0,0,0,0,0,65529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64783,1
8,37666,50320,0,25026,0,5159,0,32728,0,2593,0,2877,0,2868,0,40736,0,9252,0,4853,0,837,0,4098,0,4934,0,3711,0,3991,0,40963,0,0,0,0,0,209,0,4429,0,0,0,273,0,256,0,3144,0,0,0,1621,0,297,0,4405,0,0,0,4416,0,3132,0,34739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,404,0,0,0,256,0,0,0,3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3322,0,0,0,0,0,0,0,5961,0,0,0,0,0,0,0,52068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49130,1
9,55579,75784,0,37184,0,13454,0,59733,0,3651,0,4765,0,4857,0,56820,0,13302,0,6816,0,3086,0,9372,0,6624,0,7032,0,9107,0,74396,0,0,0,0,0,498,0,5831,0,0,0,866,0,502,0,5520,0,0,0,1726,0,796,0,6070,0,0,0,6278,0,5473,0,48366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,1449,0,0,0,695,0,0,0,7216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5674,0,0,0,0,0,0,0,11054,0,0,0,0,0,0,0,83482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108714,1
