,0,1,2,3,4,5,6,7,8,9,10
0,125526,30344,25394,2677,36854,0,0,0,0,31109,1
1,166302,37142,27872,2397,50967,0,0,0,0,34808,1
2,169838,39983,32876,3324,52940,0,0,0,0,43567,1
3,220749,54158,44200,4538,66738,0,0,0,0,59665,1
4,206406,46519,40010,4121,63573,0,0,0,0,51019,1
5,232138,56753,47065,4806,65647,0,0,0,0,54391,1
6,203735,48106,41657,4240,62753,0,0,0,0,52693,1
7,248555,59512,49101,4754,77103,0,0,0,0,64783,1
8,223947,56976,48610,3890,61351,0,0,0,0,49130,1
9,351027,103752,68709,9476,100210,0,0,0,0,108714,1
10,275486,70790,56518,5489,76757,0,0,0,0,70992,1
11,257130,61173,48562,4307,74957,0,0,0,0,53071,1
12,257092,60121,48420,4668,74356,0,0,0,0,57615,1
13,259564,76366,49878,5729,74406,0,0,0,0,65513,1
14,257902,63415,53987,5892,76631,0,0,0,0,73629,1
15,253609,59459,50007,4991,78356,0,0,0,0,71210,1
16,360663,88913,70019,6285,107080,0,0,0,0,82816,1
17,464808,115665,95247,9858,127517,0,0,0,0,106969,1
18,262887,69363,53041,4760,70778,0,0,0,0,56803,1
19,459063,114315,97344,10007,127659,0,0,0,0,110140,1
20,464128,118092,97067,8201,125790,0,0,0,0,105250,1
21,288915,65432,54713,6046,86026,0,0,0,0,74868,1
22,377774,84364,68767,8017,117289,0,0,0,0,88749,1
23,368845,88225,72270,6602,107454,0,0,0,0,84668,1
24,407720,102507,77431,7983,117607,0,0,0,0,94688,1
25,357745,85237,71019,7470,103949,0,0,0,0,87284,1
26,286513,71085,56901,5463,84996,0,0,0,0,69506,1
27,372634,89204,80935,10412,110638,0,0,0,0,113393,1
28,171456,40287,31781,3360,54002,0,0,0,0,43178,1
29,255188,65957,52103,4302,69408,0,0,0,0,53778,1
30,255810,59490,54815,6829,76471,0,0,0,0,76505,1
31,194066,56692,45215,4023,46588,0,0,0,0,45096,1
32,167973,38238,31230,3161,52934,0,0,0,0,41312,1
33,346790,78335,67667,8114,104143,0,0,0,0,87687,1
34,261336,59246,45204,3562,77471,0,0,0,0,53917,1
35,292501,83121,56919,5485,90447,0,0,0,0,73639,1
36,189917,43362,35765,3570,59528,0,0,0,0,48786,1
37,390284,95479,83426,10231,116015,0,0,0,0,110965,1
38,257140,65947,50205,4196,69839,0,0,0,0,51873,1
39,329324,82448,61072,4111,96599,0,0,0,0,70030,1
40,310593,74724,64115,7280,92673,0,0,0,0,77303,1
41,312053,74661,57126,5804,101239,0,0,0,0,77341,1
42,344387,88586,72596,6781,96587,0,0,0,0,80727,1
43,256563,60676,52570,5251,79223,0,0,0,0,67957,1
44,186794,43554,35358,3732,58735,0,0,0,0,51219,1
45,282969,70852,57682,4892,74577,0,0,0,0,60452,1
46,411409,108466,82416,7370,120628,0,0,0,0,89935,1
