,0,1,2,3,4,5,6,7,8,9,10
0,24017,29174,12100,15345,17977,20401,17421,31288,31109,53072,1
1,27872,40909,15605,20524,29791,26663,19596,43044,34808,60676,1
2,31573,41437,15831,20201,24255,26636,22530,44706,43567,71792,1
3,37825,53804,21176,27880,35052,37533,31088,57047,59665,88978,1
4,38312,51342,19238,23200,29478,30734,27605,54176,51019,86544,1
5,41353,54152,23055,29701,38206,39236,33188,56183,54391,91335,1
6,38295,49477,19083,23696,30210,31811,28530,53214,52693,86175,1
7,44023,61117,22594,29928,39414,40618,33981,65529,64783,101821,1
8,37666,50320,25026,32728,40736,40963,34739,52068,49130,80528,1
9,55579,75784,37184,59733,56820,74396,48366,83482,108714,141830,1
10,46542,64464,25991,36170,43982,48264,39191,64769,70992,115667,1
11,41522,60181,26014,35161,47179,44378,34695,63983,53071,93016,1
12,44198,61184,25264,32453,44311,42506,34029,63312,57615,97400,1
13,40920,54957,27949,43718,44782,55169,35324,61258,65513,101866,1
14,47175,62642,24605,31460,34760,41158,36787,64584,73629,114656,1
15,47503,61943,23691,29424,37101,40189,34412,66824,71210,105335,1
16,60778,84937,34344,46322,61050,63035,49677,90389,82816,142428,1
17,79823,105369,49725,64167,78844,81027,67827,109229,106969,177084,1
18,41589,58071,26992,38488,50154,50674,38303,60753,56803,95805,1
19,82070,103479,50026,62880,72601,78217,68714,109592,110140,180809,1
20,77935,104532,48097,63531,81495,84182,69685,107498,105250,176323,1
21,49676,71303,27941,36350,45311,44281,38098,72457,74868,115715,1
22,67352,93902,35358,45572,57117,57586,47772,100748,88749,150804,1
23,64445,88039,36043,47035,61454,61690,50834,91458,84668,142398,1
24,67621,94113,38125,53423,72591,73709,55917,101403,94688,156346,1
25,63156,85266,35009,45062,56702,58305,49931,89455,87284,142534,1
26,50361,67182,27211,35740,45782,49335,40029,72124,69506,117194,1
27,71395,90474,35396,43569,45269,55326,53662,93667,113393,175065,1
28,31359,41723,15559,20069,25267,27290,21732,45434,43178,72453,1
29,41794,56726,26526,36235,47607,47973,37406,59461,53778,93230,1
30,48245,63976,23906,29716,31512,36905,36649,64715,76505,117791,1
31,31769,38995,21400,30002,37116,41372,33356,40472,45096,72102,1
32,30236,41734,14961,19195,25827,25660,21259,44683,41312,69981,1
33,63734,85968,33039,41161,48634,51047,46093,88926,87687,146447,1
34,40040,64042,25233,35276,48431,43250,32120,65235,53917,93192,1
35,40533,68697,22679,39351,54041,61663,41826,79060,73639,120623,1
36,33761,47396,17327,22293,29208,29154,24734,50626,48786,77643,1
37,71452,93544,37432,48142,51216,61589,57029,98964,110965,176067,1
38,40002,56882,26477,36742,50640,48726,36313,59989,51873,91556,1
39,41026,78119,35627,52340,67640,62874,46288,84783,70030,104857,1
40,58597,73354,29746,37797,44128,49552,44027,79171,77303,133013,1
41,55472,76494,28786,37177,49698,51912,39665,86327,77341,125352,1
42,55431,78035,35217,49121,61025,62799,51836,82424,80727,133049,1
43,46815,62700,23342,30131,39615,40671,35736,66858,67957,108415,1
44,32126,46444,16931,22565,29856,30045,24352,50247,51219,75607,1
45,47228,63206,30325,39672,51997,51011,41657,63720,60452,102156,1
46,57791,98328,38954,59656,76745,80050,61751,105273,89935,151741,1
47,45595,86780,26962,47404,81282,76427,51672,96328,77825,127037,1
48,36238,47101,20191,26840,36575,38044,30232,49009,49336,81154,1
49,42178,56126,21864,28192,34930,36768,30733,58948,55214,95847,1
50,64266,85459,42781,57761,68829,70134,59297,90547,87825,141101,1
51,81134,107835,45550,61863,74348,82382,71283,111811,134739,198271,1
52,46660,61994,25179,34498,39873,46383,37846,67895,68986,111358,1
53,24150,33080,12278,16205,21171,21577,16809,35470,37778,54890,1
54,79564,104187,48763,65667,88356,88583,69168,108757,97952,170603,1
55,29433,39815,14856,18718,25116,24652,19820,43582,38785,64711,1
56,41627,54505,21125,28273,33139,37006,30120,58571,61381,95053,1
57,57816,75056,28286,35456,38402,46812,44551,78225,92975,142933,1
58,37544,49516,19446,23891,30599,32165,27529,53204,54971,84319,1
59,61503,82470,32678,41238,51106,52488,45204,86958,82695,142572,1
60,81764,107349,42507,54015,60452,72665,63901,111811,123565,202035,1
61,107374,127124,85533,133826,170349,196856,145739,131234,156287,241742,1
62,63914,88311,46817,66448,84694,83728,65624,93272,85089,142327,1
63,39964,59140,21301,29323,37418,40995,30055,68266,57709,98133,1
64,48325,60780,25528,34975,43087,49581,40911,64668,68550,115019,1
65,70834,93528,35801,45878,49976,58211,54520,96817,113000,172475,1
66,78012,123633,48729,67031,90612,84167,64503,127074,115777,185038,1
67,48902,89446,31612,49356,87188,77853,57518,94272,79052,125153,1
68,29989,40638,14397,17844,23663,23387,19739,42408,39890,67533,1
69,45456,77189,37549,52301,64247,60288,44495,82768,69235,103912,1
70,52822,76001,31435,42327,55713,53904,41220,81565,66308,117713,1
71,68268,84940,32466,40265,39607,52557,52776,88376,113465,170704,1
72,69631,94411,36353,47637,51407,61243,56108,98371,112917,173714,1
73,62447,83778,40552,53773,67643,70806,59441,86160,89267,141845,1
74,46335,63762,27219,37309,47245,50058,40565,66652,63344,108935,1
75,27294,40165,15457,20762,29123,27322,20559,41668,35762,61376,1
76,45467,75553,31870,54182,55131,75328,58523,79862,101729,133523,1
77,23426,40902,14456,23127,34865,34311,24496,45764,37765,63416,1
78,57619,75982,34752,48548,61379,65308,53079,78452,83000,136153,1
79,57870,77376,35944,46536,56689,56723,48022,81884,77563,126481,1
80,29348,41652,15870,21556,26183,28029,23584,44484,45390,71040,1
81,34146,52545,20489,27824,37279,36627,27802,54634,49726,82864,1
82,48915,62402,24086,29669,31761,38019,36403,65771,73800,119094,1
83,41619,55582,20440,25344,32896,33117,27738,59537,54633,92998,1
84,43327,60138,23038,30459,39612,42186,32970,66696,66631,100287,1
85,57203,91078,29486,50516,54783,83464,59217,102215,169282,173668,1
86,43268,64283,24056,32683,42996,43799,35450,69443,68511,105431,1
87,26680,34567,15492,21161,26999,29628,23027,36285,35478,60955,1
88,45679,84897,33918,57798,66166,76140,53116,95946,81505,135971,1
89,93196,119750,63290,88967,116419,126236,98342,122585,120765,207058,1
90,60838,81199,35860,45505,56025,57735,50178,85258,83303,133763,1
91,44737,64358,23794,32243,41947,44830,35255,70541,71147,108748,1
92,55153,77068,31338,41136,53909,52508,42310,79792,71385,122089,1
93,44978,63975,29076,39728,52101,51665,40270,65485,61409,102737,1
94,44938,55974,23344,30992,38288,44028,37048,58893,62369,104862,1
95,53437,84745,33795,48385,67793,61278,44101,87171,78650,128773,1
96,75485,98605,38508,49032,51779,64805,60151,100316,123525,190274,1
97,40688,53784,23117,30613,37220,40012,32376,56010,54656,90788,1
98,30121,45831,19043,26557,36116,33499,24856,47952,39811,69462,1
99,49559,67791,25610,34436,41414,46680,38636,75971,77257,120182,1
100,90567,111840,47293,62418,82281,89699,73805,121518,121169,203954,1
101,38347,47790,21484,29051,33742,38814,35017,49795,57255,89537,1
102,40413,56266,20619,27513,35503,36629,28145,62098,62933,92217,1
103,53854,67652,25270,30347,33016,40930,39160,70785,80191,133259,1
104,40771,53942,19188,25685,34126,35611,28428,58754,55563,93372,1
105,67936,92719,34818,46320,61148,64608,49224,102571,86239,157809,1
106,82620,105829,48726,61530,75419,80235,68848,110976,106728,180689,1
107,46026,62914,28658,39481,51325,52376,41021,65749,60526,103348,1
