,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,0,2005,666,1431,5050,14685,24210,30893,35295,35625,34710,25466,15877,10655,6386,3675,1870,899,484,229,123,92,96,89,101,130,275,453,320,109,5
1,15,85,384,2139,5384,9421,16330,24165,33001,40464,43670,41806,35394,26036,16388,9539,4649,1991,953,671,685,793,731,851,831,1356,1171,433,65,39,26,22
2,0,2518,3598,2019,2201,1890,2151,4604,7529,11288,19206,27045,32284,34132,33897,29485,25335,23823,21595,17430,13082,8595,5462,3487,2203,1639,1331,1254,1218,1029,839,359
3,190,5750,8529,3094,2663,6478,19349,23781,17565,20518,24441,30440,36136,39608,42326,40846,35326,27267,17819,12583,8754,5815,4480,2809,1689,1282,1093,1022,973,961,1634,4827
4,0,2,71,120,727,9172,14698,9774,18886,30064,32543,34947,39580,44476,44810,40732,31665,20981,13455,8068,4351,2327,1662,1176,1050,1193,1260,1252,1164,822,549,71
5,0,4,83,4847,24197,28973,40338,56561,69476,70645,60571,43200,26422,14031,6952,3170,2006,1396,1517,1364,1151,1423,1602,696,163,12,0,0,0,0,0,0
6,0,177,7096,4063,1882,2071,7711,17831,32684,44322,38831,33766,33970,34972,32478,27965,23630,19515,15410,11747,8045,4998,3189,2010,1295,855,622,458,286,314,572,419
7,212,3945,4686,4040,3496,6400,23471,34167,30781,25916,27054,32040,31798,30374,30540,35367,38571,37418,31361,22917,15556,9552,5963,3635,2516,1852,1771,1649,1514,1384,1220,2642
8,0,1373,1849,5191,17614,34801,34159,29492,33332,38824,43502,45991,43115,35905,26369,17693,11201,7255,4442,2915,1969,1430,1074,839,739,738,800,709,440,135,8,0
9,49556,14642,19783,12987,15805,28179,42888,72197,99224,114633,88672,52811,32300,23076,17760,14297,10494,7094,5294,5214,4570,3608,3028,1988,968,534,233,52,1,0,0,0
