,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,800,1205,405,261,494,937,1708,3342,5950,8735,11216,12994,14709,16184,17366,17929,17688,17937,18184,16526,14085,11381,8739,7138,5879,4776,3618,2768,2155,1520,1096,774,513,386,272,212,146,83,72,51,48,44,54,42,49,40,38,63,65,65,96,179,221,232,177,143,88,21,5,0
1,0,15,41,44,79,305,811,1328,2243,3141,4061,5360,7136,9194,11226,12939,15592,17409,19707,20757,21678,21992,21459,20347,18741,16653,14379,11657,9253,7135,5426,4113,2757,1892,1184,807,555,398,367,304,329,356,394,399,369,362,501,350,356,475,637,719,668,503,330,103,41,24,17,22,12,14,22,0
2,0,0,228,2290,2164,1434,998,1021,1165,1036,972,918,956,1195,1916,2688,3442,4087,4912,6376,8533,10673,12577,14468,15696,16588,17005,17127,17136,16761,15430,14055,12864,12471,12151,11672,11194,10401,9262,8168,7127,5955,4756,3839,3031,2431,1963,1524,1247,956,853,786,707,624,630,624,623,595,556,473,453,386,302,57
3,1,189,3324,2426,5044,3485,1715,1379,1204,1459,2305,4173,7521,11828,13379,10402,8935,8630,9537,10981,11683,12758,14217,16223,17472,18664,19135,20473,21147,21179,20966,19880,18450,16876,14970,12297,9868,7951,6646,5937,4823,3931,3076,2739,2556,1924,1648,1161,930,759,659,623,582,511,514,508,485,488,492,469,638,996,2081,2746
4,0,0,0,2,36,35,42,78,184,543,2611,6561,8670,6028,4282,5492,7902,10984,14120,15944,16169,16374,16848,18099,19210,20370,21851,22625,22808,22002,21018,19714,17303,14362,11685,9296,7419,6036,4643,3425,2526,1825,1300,1027,881,781,621,555,482,568,591,602,619,641,620,632,621,543,460,362,325,224,71,0
5,0,0,0,4,16,67,699,4148,10162,14035,14265,14708,18105,22233,26176,30385,33931,35545,36039,34606,31962,28609,23924,19276,15070,11352,8171,5860,4157,2795,1830,1340,1111,895,673,723,758,759,696,668,605,546,658,765,816,786,455,241,110,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,177,2189,4907,2495,1568,1038,844,816,1255,2740,4971,7432,10399,13972,18712,22029,22293,20157,18674,17309,16457,16788,17182,17574,17398,16761,15717,14675,13290,12273,11357,10321,9194,8167,7243,6331,5416,4389,3656,2813,2185,1745,1444,1140,870,723,572,461,394,341,281,250,208,173,113,153,161,240,332,333,86
7,0,212,2489,1456,2556,2130,1974,2066,1842,1654,2106,4294,9206,14265,16918,17249,16219,14562,13368,12548,12843,14211,15749,16291,16089,15709,15365,15009,14877,15663,16874,18493,19121,19450,19192,18226,16721,14640,12484,10433,8655,6901,5320,4232,3363,2600,2013,1622,1378,1138,944,908,905,866,858,791,774,740,674,710,586,634,765,1877
8,0,0,761,612,718,1131,1572,3619,6906,10708,15474,19327,18498,15661,14434,15058,15991,17341,18567,20257,21304,22198,23077,22914,22260,20855,18988,16917,14378,11991,9911,7782,6224,4977,4059,3196,2459,1983,1590,1325,1084,885,746,684,555,519,457,382,381,358,350,388,403,397,380,329,251,189,103,32,7,1,0,0
9,20,49536,6320,8322,11620,8163,6248,6739,6970,8835,12543,15636,18580,24308,32785,39412,46156,53068,57906,56727,49264,39408,30231,22580,17633,14667,12441,10635,9411,8349,7529,6768,5724,4770,3827,3267,2758,2536,2662,2552,2466,2104,1881,1727,1595,1433,1127,861,577,391,329,205,140,93,39,13,1,0,0,0,0,0,0,0
10,0,0,0,182,1008,1415,3714,1284,683,1083,3059,8644,17583,22535,25756,29294,32720,35896,37125,37958,36427,34992,33915,32331,29619,25408,21121,16907,12923,9307,6707,4707,3481,2662,2070,1784,1661,1721,1853,1842,1430,1350,956,728,516,428,574,812,1129,1428,1641,1594,1314,623,119,5,4,3,1,0,0,0,0,0
11,0,0,5,12,28,201,312,640,1970,4590,8075,12601,17179,21405,25301,28626,31102,32335,32692,31670,29821,27841,25288,23035,20666,18647,16246,14916,13525,12331,10561,8858,7195,5626,4413,3099,2184,1713,1206,791,612,505,393,265,206,156,98,69,62,39,25,16,9,6,12,7,3,2,2,2,4,1,0,0
12,0,0,0,55,39,720,7564,18348,20421,13710,7395,4466,4864,6584,9643,13001,16689,20006,22983,25399,26711,28031,28987,28250,26360,23866,21572,19031,16836,14730,12789,11306,9847,7975,6127,4432,3340,2478,1827,1386,1081,849,795,764,847,1012,1056,1148,1153,915,788,612,464,471,385,396,451,511,499,271,35,1,0,0
13,0,2,3107,6055,3305,1443,737,1733,3425,4204,4890,4668,5771,10149,17895,26066,32887,37836,40538,42737,44088,42627,39754,33390,26992,21145,16287,12600,9931,7922,6709,5462,4383,3298,2459,1829,1278,960,755,591,385,296,193,152,86,88,62,52,52,47,45,43,17,10,4,6,3,4,3,0,0,0,0,0
14,0,0,0,0,1649,16562,22122,18329,8228,3462,4222,8678,15192,16296,16700,21579,25692,28416,29467,28198,26700,25978,27058,27840,28319,26743,23608,19795,15299,10835,7276,4252,2561,1633,1220,1063,918,925,879,964,1482,2240,2416,1945,1633,1109,674,519,360,236,126,31,14,5,4,2,1,1,0,0,0,0,0,0
